representation,representation_key,model_seed,draw,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
STFT / Spectrogram,stft_spectrogram,0,100002,0.0013533292568907592,0.023999855505436526,0.017993455483674283,0.007262181071060681,0.011622508747730118,0.0650028566113946
STFT / Spectrogram,stft_spectrogram,0,100003,0.0013390257849088248,0.022298302631120846,0.018806676019321487,0.0072500132262556145,0.011533987854744937,0.0647894411670919
STFT / Spectrogram,stft_spectrogram,0,100004,0.0013998251034720794,0.02361266640385125,0.018915162046913434,0.0074528793805856315,0.011925264385414823,0.06532616301729033
STFT / Spectrogram,stft_spectrogram,42,100000,0.0014488307088940983,0.03329768078646019,0.019827025472281583,0.007341492541577715,0.011872693876341218,0.0682771643813776
STFT / Spectrogram,stft_spectrogram,42,100001,0.0014552089826075016,0.0286166755384315,0.01976874164391864,0.007401483330148291,0.01193147302139768,0.06809059886975627
STFT / Spectrogram,stft_spectrogram,42,100002,0.0014280622303068367,0.03183077983750979,0.018840029719791755,0.0073187236960636955,0.01182860460078957,0.06849362466340708
STFT / Spectrogram,stft_spectrogram,42,100003,0.0014075006406708377,0.029468280543579646,0.019024016921405235,0.007265909622076683,0.011718223154099032,0.06816838063350344
STFT / Spectrogram,stft_spectrogram,42,100004,0.001476435494544326,0.032702578838335515,0.01936808290602262,0.007551740886955413,0.012241158800916134,0.06914549674036286
STFT / Spectrogram,stft_spectrogram,123,100000,0.0015614193800393542,0.01501680543716705,0.020673785457190206,0.007770328719004321,0.012135801045479337,0.05998828567885495
STFT / Spectrogram,stft_spectrogram,123,100001,0.0015760523433251041,0.01683053331412618,0.021170463127981133,0.007920754509406682,0.012254984795734197,0.05934250327735269
STFT / Spectrogram,stft_spectrogram,123,100002,0.0015589170674173694,0.018161112236152667,0.01991430186322572,0.007878091349016313,0.012218473540340252,0.05947094006873588
STFT / Spectrogram,stft_spectrogram,123,100003,0.0015335368902381712,0.01657903267237619,0.020882000951847477,0.0077718139940010575,0.012015389810709994,0.05899511497307264
STFT / Spectrogram,stft_spectrogram,123,100004,0.001579820774694943,0.015127935524407951,0.020838626960167778,0.007934905327445639,0.012323479512284227,0.05971258946286856
Frequency-as-Channel,frequency_as_channel,0,100000,0.0013178722547076895,0.051710442737539455,0.016041227993296065,0.006776159223941265,0.012460949268014922,0.08922620154832772
Frequency-as-Channel,frequency_as_channel,0,100001,0.0013450321454921079,0.044724398381930326,0.01719304790419909,0.006964601931148125,0.012662092033189007,0.0885840175914116
Frequency-as-Channel,frequency_as_channel,0,100002,0.001322865786830949,0.04377525239396372,0.015941657374798933,0.006871347456643827,0.012578859822271096,0.08882372936153632
Frequency-as-Channel,frequency_as_channel,0,100003,0.001341538470996577,0.04183968795647706,0.016879049446826794,0.0069563946601422545,0.01255982950735076,0.08748787600977898
Frequency-as-Channel,frequency_as_channel,0,100004,0.0013326584740361207,0.045622944336226365,0.016331248752559962,0.006889647598256141,0.012664332422959293,0.08957884911777214
Frequency-as-Channel,frequency_as_channel,42,100000,0.0014413460430756093,0.040148981710266256,0.01777683698374067,0.007021953023911353,0.012709606653626027,0.08807719051162138
Frequency-as-Channel,frequency_as_channel,42,100001,0.0014249919898639226,0.04260078415837422,0.01795387237721713,0.006983994533914045,0.012652827122878435,0.08867674674036286
Frequency-as-Channel,frequency_as_channel,42,100002,0.0014144657398867647,0.03517065810136272,0.017362309626949252,0.006985595037801377,0.012665903072735046,0.0885178615717121
Frequency-as-Channel,frequency_as_channel,42,100003,0.0014204235865619473,0.03617126396595563,0.017932822464222866,0.006970446478768318,0.012563044053134395,0.0880686096053005
Frequency-as-Channel,frequency_as_channel,42,100004,0.0014294805605702822,0.03661165524287189,0.017169163850653275,0.006983553535078443,0.012727532711902106,0.08931118020124723
Frequency-as-Channel,frequency_as_channel,123,100000,0.0014775353571617835,0.045044538777177415,0.019061778862004962,0.007825849175069982,0.013640287688613036,0.08516854007227898
Frequency-as-Channel,frequency_as_channel,123,100001,0.001463270180972627,0.04864263941529149,0.019866569174659992,0.007803299948075458,0.013565856947221865,0.08490834484835608
Frequency-as-Channel,frequency_as_channel,123,100002,0.0014481658907760837,0.0421048232620143,0.018808269689155138,0.007759808212705516,0.013539513601455971,0.0845377050559808
Frequency-as-Channel,frequency_as_channel,123,100003,0.0014640096271160289,0.03769025801243343,0.01969438699987697,0.007848249125129741,0.013585931827481891,0.08429245721726197
Frequency-as-Channel,frequency_as_channel,123,100004,0.0014786864771319133,0.04745035515465512,0.01928059599826786,0.007847630490295607,0.013721636302436835,0.08596518034297057
