representation,representation_key,model_seed,draw,context_fid,correlational_score,discriminative_score,predictive_score,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
Period-Aligned 2D,period_aligned_2d,0,100000,0.8497552256083726,0.07344970107078552,0.13902439024390245,0.11624771601964312,0.0014208838980121292,0.01620524765282672,0.017385670103348013,0.007629361339281042,0.012522639934862176,0.06640016032454654
Period-Aligned 2D,period_aligned_2d,0,100001,0.8387407297792956,0.07307009398937225,0.14146341463414636,0.11416940738430033,0.0014093054869030411,0.016984777482521585,0.01745155175849838,0.007639032242739024,0.012528388552137101,0.0668596540178572
Period-Aligned 2D,period_aligned_2d,0,100002,0.834452049830999,0.06427936255931854,0.141869918699187,0.11566241571563296,0.0014179364994598305,0.017163551397371152,0.017285333339916643,0.007722498094119207,0.012737425024564764,0.06797240380527214
Period-Aligned 2D,period_aligned_2d,0,100003,0.8647083605339309,0.0705629363656044,0.15589430894308945,0.11370187793121052,0.0014351097933097438,0.017064257643442514,0.016599738594337603,0.007749207550168995,0.012715684233567198,0.06797600224985834
Period-Aligned 2D,period_aligned_2d,0,100004,0.8512961034653753,0.06500544399023056,0.12865853658536586,0.11448535455398694,0.0014374167954885264,0.018112852337185143,0.017402283870096447,0.007767878331231052,0.012783082484885168,0.06845625620039686
Period-Aligned 2D,period_aligned_2d,42,100000,0.9243038090449253,0.08497141301631927,0.13191056910569107,0.11712488097267244,0.0014981640509628767,0.01225529845798457,0.017755227716179225,0.007858228443728753,0.013367707594518774,0.07678361057964855
Period-Aligned 2D,period_aligned_2d,42,100001,0.933361033042636,0.08915133029222488,0.13719512195121952,0.1151976453561474,0.0015005910895148887,0.011958191358880441,0.018372451160444576,0.007930464092035398,0.013469951925439115,0.07731147472009642
Period-Aligned 2D,period_aligned_2d,42,100002,0.8979366129869936,0.0772329568862915,0.14756097560975612,0.11754303476633747,0.0014852780624899258,0.011240304780295323,0.017716767507840625,0.007926941728906841,0.013562674730258538,0.07810451654620187
Period-Aligned 2D,period_aligned_2d,42,100003,0.918674654971201,0.08274417370557785,0.1530487804878049,0.11414587049572826,0.0015009102773923596,0.014504501398830994,0.01719084724515768,0.007967712233302702,0.013570697220493491,0.07815877001842408
Period-Aligned 2D,period_aligned_2d,42,100004,0.9178904552332497,0.08232295513153076,0.1313008130081301,0.1135881644775812,0.0015149971113511541,0.012045587825351738,0.017840359931293476,0.007989682133476266,0.013638798196213157,0.07856151900864516
Period-Aligned 2D,period_aligned_2d,123,100000,0.9434507224725145,0.08096780627965927,0.1650406504065041,0.1165822446932907,0.0014586736168538113,0.01461650845789413,0.01622757207826193,0.007764356670121913,0.012924441556390553,0.06567687296272678
Period-Aligned 2D,period_aligned_2d,123,100001,0.921418870779434,0.08538179099559784,0.16239837398373988,0.11388768588479554,0.0014496426699284529,0.013788081511748033,0.016725672610196335,0.0077637578049158,0.012867003360720095,0.06568988272392295
Period-Aligned 2D,period_aligned_2d,123,100002,0.9138020504854186,0.0739242434501648,0.16524390243902443,0.11753356207251879,0.0014576748276040176,0.0128646656667406,0.016274653232597743,0.007842710192380843,0.013034672919544063,0.0662717235331633
Period-Aligned 2D,period_aligned_2d,123,100003,0.9602910958147061,0.07988603413105011,0.17682926829268297,0.1154424575053478,0.00147301487230947,0.013015773649853965,0.01593866554201482,0.007863533035463048,0.012975998890445234,0.06568877551020413
Period-Aligned 2D,period_aligned_2d,123,100004,0.9369274758250473,0.08023259788751602,0.1554878048780488,0.11359928082750533,0.0014805996446267575,0.019070367790809513,0.016633301548877176,0.007906388560763644,0.01309473574339802,0.06681924071712025
STFT / Spectrogram,stft_spectrogram,0,100000,0.9653566304313629,0.1019243448972702,0.1699186991869919,0.11660176318476563,0.0013867595112303265,0.023691874548826115,0.018880828679082244,0.0073148066875476855,0.011666057798360295,0.06472937482284585
