dataset,seed,window,site,confidence,normalized_confidence,gate,topk_mass,spectral_entropy,top1_period,candidate_vector,sh64_error,cg64_error,paired_error_improvement
ETTh,0,38,encoder,0.07542175910576131,0.7419527,0.80646455,0.5950512423062027,0.8732516567590819,21,"[21, 32, 64, 12, 10, 8, 5, 2, 4]",1.7475474,1.7334425,0.014104843
ETTh,0,38,decoder,0.07542175910576131,0.7419527,0.80646455,0.5950512423062027,0.8732516567590819,21,"[21, 32, 64, 12, 10, 8, 5, 2, 4]",1.7475474,1.7334425,0.014104843
ETTh,0,39,encoder,0.0725734279292425,0.68748665,0.765615,0.5895806440777087,0.8769066985861275,21,"[21, 32, 64, 12, 10, 8, 5, 2, 16]",1.6323849,1.7847551,-0.15237021
ETTh,0,39,decoder,0.0725734279292425,0.68748665,0.765615,0.5895806440777087,0.8769066985861275,21,"[21, 32, 64, 12, 10, 8, 5, 2, 16]",1.6323849,1.7847551,-0.15237021
ETTh,0,40,encoder,0.07197383706975166,0.67602116,0.7570159,0.5893161580017905,0.8778688890632234,21,"[21, 32, 64, 12, 10, 8, 5, 2, 16]",1.7279797,1.8640339,-0.13605428
ETTh,0,40,decoder,0.07197383706975166,0.67602116,0.7570159,0.5893161580017905,0.8778688890632234,21,"[21, 32, 64, 12, 10, 8, 5, 2, 16]",1.7279797,1.8640339,-0.13605428
ETTh,0,41,encoder,0.06979455954928401,0.63434887,0.72576165,0.5844180267106256,0.8805742527448717,21,"[21, 32, 64, 12, 10, 8, 5, 2, 4]",2.0084014,2.0298607,-0.021459341
ETTh,0,41,decoder,0.06979455954928401,0.63434887,0.72576165,0.5844180267106256,0.8805742527448717,21,"[21, 32, 64, 12, 10, 8, 5, 2, 4]",2.0084014,2.0298607,-0.021459341
ETTh,0,42,encoder,0.0608916784449453,0.46410695,0.5980802,0.5654209954258688,0.8923073622353157,21,"[21, 32, 64, 12, 10, 4, 5, 8, 2]",1.8925955,2.067374,-0.17477846
ETTh,0,42,decoder,0.0608916784449453,0.46410695,0.5980802,0.5654209954258688,0.8923073622353157,21,"[21, 32, 64, 12, 10, 4, 5, 8, 2]",1.8925955,2.067374,-0.17477846
ETTh,0,43,encoder,0.04761050503934233,0.21014293,0.4076072,0.5300862851685655,0.9101834807437013,21,"[21, 32, 64, 12, 10, 5, 4, 9, 8]",2.0251608,2.5033803,-0.4782195
ETTh,0,43,decoder,0.04761050503934233,0.21014293,0.4076072,0.5300862851685655,0.9101834807437013,21,"[21, 32, 64, 12, 10, 5, 4, 9, 8]",2.0251608,2.5033803,-0.4782195
ETTh,0,44,encoder,0.043604976926227036,0.13354878,0.35016158,0.517751467982953,0.9157800998689535,21,"[21, 32, 10, 12, 64, 8, 9, 5, 16]",1.9915617,2.4454122,-0.4538505
ETTh,0,44,decoder,0.043604976926227036,0.13354878,0.35016158,0.517751467982953,0.9157800998689535,21,"[21, 32, 10, 12, 64, 8, 9, 5, 16]",1.9915617,2.4454122,-0.4538505
ETTh,0,45,encoder,0.047519794753805654,0.20840836,0.40630627,0.5268962473793427,0.9098118557682696,21,"[21, 32, 12, 10, 64, 8, 9, 16, 4]",2.0947847,2.3426273,-0.24784255
ETTh,0,45,decoder,0.047519794753805654,0.20840836,0.40630627,0.5268962473793427,0.9098118557682696,21,"[21, 32, 12, 10, 64, 8, 9, 16, 4]",2.0947847,2.3426273,-0.24784255
ETTh,0,46,encoder,0.05801356911891183,0.40907145,0.5568036,0.5493918409491597,0.8944040213289582,21,"[21, 32, 12, 10, 8, 64, 16, 9, 6]",2.073728,2.5229867,-0.44925857
ETTh,0,46,decoder,0.05801356911891183,0.40907145,0.5568036,0.5493918409491597,0.8944040213289582,21,"[21, 32, 12, 10, 8, 64, 16, 9, 6]",2.073728,2.5229867,-0.44925857
ETTh,0,47,encoder,0.05566844402976037,0.36422768,0.52317077,0.5451910723302127,0.8978918642379328,21,"[21, 12, 32, 10, 16, 8, 64, 9, 4]",2.0689976,2.382002,-0.3130045
ETTh,0,47,decoder,0.05566844402976037,0.36422768,0.52317077,0.5451910723302127,0.8978918642379328,21,"[21, 12, 32, 10, 16, 8, 64, 9, 4]",2.0689976,2.382002,-0.3130045
ETTh,0,48,encoder,0.0522681942989395,0.29920778,0.47440583,0.540408099201912,0.9032801425882949,21,"[21, 12, 32, 10, 16, 8, 64, 9, 2]",1.9058849,2.216561,-0.31067622
ETTh,0,48,decoder,0.0522681942989395,0.29920778,0.47440583,0.540408099201912,0.9032801425882949,21,"[21, 12, 32, 10, 16, 8, 64, 9, 2]",1.9058849,2.216561,-0.31067622
ETTh,0,49,encoder,0.058139291029320056,0.4114755,0.5586066,0.5522419726460298,0.8947213469654441,21,"[21, 12, 32, 10, 16, 64, 8, 9, 4]",1.937636,2.1909082,-0.25327218
ETTh,0,49,decoder,0.058139291029320056,0.4114755,0.5586066,0.5522419726460298,0.8947213469654441,21,"[21, 12, 32, 10, 16, 64, 8, 9, 4]",1.937636,2.1909082,-0.25327218
ETTh,0,50,encoder,0.05777272802482805,0.40446606,0.55334955,0.5506804504234798,0.8950884710354251,21,"[21, 12, 32, 10, 16, 64, 8, 9, 5]",1.9441537,2.1644828,-0.22032917
