dataset,window_index,origin_row,feature_index,feature_name,curvature,variation,robust_range,boundary_jump,normalized_boundary_jump,curvature_pct,variation_pct,range_pct,boundary_jump_pct,raw_boundary_jump_pct,typicality_distance,ts_mae,pets_mae,ts_crps,pets_crps,delta_mae,delta_crps,pets_improves_mae,pets_improves_crps,pets_improves_both,ground_truth_central_20_80,eligible,joint_gain,selected
ETTh,824,16502,0,HUFL,2.183257902822187,2.9281247734319793,8.18875024318695,0.26799964904785156,0.013435856279376936,0.08636092912447886,0.006551518761167362,0.004169148302561048,0.1512805241215009,0.11405598570577725,0.8843314938096787,5.742449102923274,5.3044687315821655,4.756631748653017,4.259640942290425,-7.627065795291917,-10.448376763732654,True,True,True,False,False,9.037721279512285,False
ETTh,825,16503,0,HUFL,2.1973223993855138,2.9784292399813626,8.198800301551818,0.4010000228881836,0.020103678100677307,0.08814770696843359,0.008933889219773675,0.005955926146515783,0.2114353782013103,0.15812983918999404,0.8591375467849979,5.93462459136499,5.371951866243035,4.8496890933893155,4.51478155340068,-9.481184807218584,-6.9057527923831845,True,True,True,False,False,8.193468799800884,False
ETTh,826,16504,0,HUFL,2.2232578646752144,3.0015464417895683,8.198800301551818,0.0,0.0,0.09350804050029779,0.009529481834425254,0.005955926146515783,0.014889815366289458,0.014889815366289458,0.9408551857074576,6.110912490589544,5.034253489784897,4.950069296280853,4.051107799988239,-17.618629009376924,-18.160584074409478,True,True,True,False,False,17.8896065418932,False
ETTh,827,16505,0,HUFL,2.211354624840521,3.002464587754217,8.198800301551818,0.9380006790161133,0.047391723260415186,0.09112567004169149,0.01012507444907683,0.005955926146515783,0.39428231089934485,0.32638475282906493,0.8138866242179608,5.92495026437391,5.484047225024551,4.725780279023166,4.545141057400032,-7.44146397313175,-3.8224210809155967,True,True,True,False,False,5.631942527023673,False
ETTh,828,16506,0,HUFL,2.2632255861836095,3.045073800039666,8.218900346755982,0.33500003814697266,0.017315392763958427,0.098868374032162,0.011316259678379988,0.007742703990470518,0.18463371054198927,0.14353782013103036,0.861099019513701,5.81245107644936,6.2307327764108775,4.646904630331555,5.221550165545196,7.196304871387106,12.366200318869899,False,False,False,False,False,-9.781252595128503,False
ETTh,829,16507,0,HUFL,2.382064296353248,3.0480121117788745,8.218900346755982,0.5360002517700195,0.02905229112853257,0.13162596783799882,0.012507444907683145,0.007742703990470518,0.27814175104228706,0.21471113758189397,0.8154058786560977,5.6017462012241594,6.745378243830055,4.4281919892726,5.798390377881005,20.41563472397189,30.942614772072744,False,False,False,False,False,-25.679124748022318,False
ETTh,830,16508,0,HUFL,2.403677202040149,3.0466822633078534,8.218900346755982,0.26799964904785156,0.014666749285801008,0.1405598570577725,0.011911852293031567,0.007742703990470518,0.16557474687313878,0.11405598570577725,0.8494614480327681,5.929077568103093,7.06119705401361,4.856211086468539,6.098201565481722,19.094361186991854,25.575298455907216,False,False,False,False,False,-22.334829821449535,False
ETTh,831,16509,0,HUFL,2.4760804330149004,3.126739900254711,9.548000288009643,0.7360000610351562,0.04027888994589492,0.15902322811197142,0.014889815366289458,0.02025014889815366,0.35378201310303753,0.26414532459797496,0.7766187414214116,5.859826879450702,7.424454949377105,4.747207569090242,6.415756552969105,26.700926531008214,35.148009847789844,False,False,False,False,False,-30.92446818939903,False
ETTh,832,16510,0,HUFL,2.4490481773691792,3.3353747062277694,10.006800389289856,0.4010000228881836,0.02194542724289662,0.1512805241215009,0.022632519356759976,0.026206075044669448,0.2328767123287671,0.15812983918999404,0.8033184415743951,6.380631922045723,6.895415592892096,5.151241801269353,5.835483398330398,8.067910469302333,13.283041710300544,False,False,False,False,False,-10.675476089801439,False
ETTh,833,16511,0,HUFL,2.5700481817606957,3.369934346467524,10.006800389289856,3.3489999771118164,0.1846338708722705,0.18642048838594402,0.023823704586063133,0.026206075044669448,0.8314472900536033,0.711733174508636,0.8120430800312909,6.204626577784074,7.607658489514142,4.856920781977824,6.544160353224725,22.612672884355078,34.738873598836555,False,False,False,False,False,-28.675773241595817,False
ETTh,834,16512,0,HUFL,2.640241737327268,3.3994959558085234,10.006800389289856,1.6750001907348633,0.09234451210533513,0.21500893388921977,0.02501488981536629,0.026206075044669448,0.6033353186420488,0.48243001786777845,0.7361994526373263,7.155298290769861,7.347116029448807,5.704104896846257,6.353329758448527,2.6807790658620836,11.381713228331755,False,False,False,False,False,-7.031246147096919,False
ETTh,835,16513,0,HUFL,2.67267723141178,3.4672675260980523,10.274800312519073,0.0670003890991211,0.003693801515038343,0.2221560452650387,0.026801667659321026,0.02799285288862418,0.053007742703990474,0.050923168552709945,0.8507095567345914,7.070589832239785,7.4242896272800865,5.917852387980092,6.272627667412162,5.0024086169945265,5.995000486201093,False,False,False,False,False,-5.498704551597809,False
ETTh,836,16514,0,HUFL,2.7699191791395985,3.423223370553319,10.234600222110746,0.20099925994873047,0.01108129939099034,0.27695056581298394,0.026206075044669448,0.0273972602739726,0.12864800476474092,0.08546754020250148,0.7971746279062578,6.842272305191727,7.267267578467727,5.447489967622678,6.095921953851358,6.211317736558444,11.903316758409007,False,False,False,False,False,-9.057317247483725,False
