family,dataset,sequence_length,model_seed,draw,metric,value
Diffusion-TS,AirQuality,64,42,100003,predictive_score,0.022697657858410974
Diffusion-TS,AirQuality,64,42,100004,context_fid,0.6469099342995828
Diffusion-TS,AirQuality,64,42,100004,correlation_score,0.16068391501903534
Diffusion-TS,AirQuality,64,42,100004,discriminative_score,0.19756097560975608
Diffusion-TS,AirQuality,64,42,100004,predictive_score,0.02266157158584292
Diffusion-TS,AirQuality,64,123,100000,context_fid,0.5341085745028429
Diffusion-TS,AirQuality,64,123,100000,correlation_score,0.13907396793365479
Diffusion-TS,AirQuality,64,123,100000,discriminative_score,0.19024390243902442
Diffusion-TS,AirQuality,64,123,100000,predictive_score,0.021596267898303267
Diffusion-TS,AirQuality,64,123,100001,context_fid,0.5323426966503321
Diffusion-TS,AirQuality,64,123,100001,correlation_score,0.1510591208934784
Diffusion-TS,AirQuality,64,123,100001,discriminative_score,0.19471544715447156
Diffusion-TS,AirQuality,64,123,100001,predictive_score,0.021833846173194615
Diffusion-TS,AirQuality,64,123,100002,context_fid,0.5843559341883039
Diffusion-TS,AirQuality,64,123,100002,correlation_score,0.15145167708396912
Diffusion-TS,AirQuality,64,123,100002,discriminative_score,0.19939024390243906
Diffusion-TS,AirQuality,64,123,100002,predictive_score,0.021818407726527766
Diffusion-TS,AirQuality,64,123,100003,context_fid,0.561680433346766
Diffusion-TS,AirQuality,64,123,100003,correlation_score,0.1666717827320099
Diffusion-TS,AirQuality,64,123,100003,discriminative_score,0.19512195121951223
Diffusion-TS,AirQuality,64,123,100003,predictive_score,0.021973909619267335
Diffusion-TS,AirQuality,64,123,100004,context_fid,0.5368909364759564
Diffusion-TS,AirQuality,64,123,100004,correlation_score,0.1340661495923996
Diffusion-TS,AirQuality,64,123,100004,discriminative_score,0.19756097560975613
Diffusion-TS,AirQuality,64,123,100004,predictive_score,0.021880406975602302
Diffusion-TS,AirQuality,128,0,100000,context_fid,0.2918477797499055
Diffusion-TS,AirQuality,128,0,100000,correlation_score,0.1066141128540039
Diffusion-TS,AirQuality,128,0,100000,discriminative_score,0.1225609756097561
Diffusion-TS,AirQuality,128,0,100000,predictive_score,0.02036955727237455
Diffusion-TS,AirQuality,128,0,100001,context_fid,0.3009111104068254
Diffusion-TS,AirQuality,128,0,100001,correlation_score,0.10306849330663681
Diffusion-TS,AirQuality,128,0,100001,discriminative_score,0.12439024390243902
Diffusion-TS,AirQuality,128,0,100001,predictive_score,0.020741202188825508
Diffusion-TS,AirQuality,128,0,100002,context_fid,0.29138696808575826
Diffusion-TS,AirQuality,128,0,100002,correlation_score,0.1038035899400711
Diffusion-TS,AirQuality,128,0,100002,discriminative_score,0.10813008130081299
Diffusion-TS,AirQuality,128,0,100002,predictive_score,0.020406812763667403
Diffusion-TS,AirQuality,128,0,100003,context_fid,0.2860154595435843
Diffusion-TS,AirQuality,128,0,100003,correlation_score,0.10191470384597778
Diffusion-TS,AirQuality,128,0,100003,discriminative_score,0.10569105691056908
Diffusion-TS,AirQuality,128,0,100003,predictive_score,0.02043826433043705
Diffusion-TS,AirQuality,128,0,100004,context_fid,0.30165510542942336
Diffusion-TS,AirQuality,128,0,100004,correlation_score,0.10097509622573853
Diffusion-TS,AirQuality,128,0,100004,discriminative_score,0.1290650406504065
Diffusion-TS,AirQuality,128,0,100004,predictive_score,0.02044390336921727
Diffusion-TS,AirQuality,128,42,100000,context_fid,0.7498440624270121
Diffusion-TS,AirQuality,128,42,100000,correlation_score,0.12519758939743042
Diffusion-TS,AirQuality,128,42,100000,discriminative_score,0.20264227642276422
Diffusion-TS,AirQuality,128,42,100000,predictive_score,0.02050977588260139
Diffusion-TS,AirQuality,128,42,100001,context_fid,0.7643523114482206
Diffusion-TS,AirQuality,128,42,100001,correlation_score,0.15008673071861267
Diffusion-TS,AirQuality,128,42,100001,discriminative_score,0.22459349593495934
Diffusion-TS,AirQuality,128,42,100001,predictive_score,0.021142462314893844
Diffusion-TS,AirQuality,128,42,100002,context_fid,0.7791584228528365
Diffusion-TS,AirQuality,128,42,100002,correlation_score,0.13920165598392487
Diffusion-TS,AirQuality,128,42,100002,discriminative_score,0.2193089430894309
Diffusion-TS,AirQuality,128,42,100002,predictive_score,0.020764180507057972
Diffusion-TS,AirQuality,128,42,100003,context_fid,0.7879591249391428
Diffusion-TS,AirQuality,128,42,100003,correlation_score,0.1461118757724762
Diffusion-TS,AirQuality,128,42,100003,discriminative_score,0.20853658536585365
Diffusion-TS,AirQuality,128,42,100003,predictive_score,0.02065563189576854
Diffusion-TS,AirQuality,128,42,100004,context_fid,0.7859074798438739
Diffusion-TS,AirQuality,128,42,100004,correlation_score,0.14550311863422394
Diffusion-TS,AirQuality,128,42,100004,discriminative_score,0.20182926829268297
Diffusion-TS,AirQuality,128,42,100004,predictive_score,0.02022443697092058
Diffusion-TS,AirQuality,128,123,100000,context_fid,0.84058570889917
Diffusion-TS,AirQuality,128,123,100000,correlation_score,0.14947032928466797
Diffusion-TS,AirQuality,128,123,100000,discriminative_score,0.2447154471544715
Diffusion-TS,AirQuality,128,123,100000,predictive_score,0.021340990332949634
Diffusion-TS,AirQuality,128,123,100001,context_fid,0.8289750956682592
Diffusion-TS,AirQuality,128,123,100001,correlation_score,0.1488647162914276
Diffusion-TS,AirQuality,128,123,100001,discriminative_score,0.26036585365853654
Diffusion-TS,AirQuality,128,123,100001,predictive_score,0.021251594931716983
Diffusion-TS,AirQuality,128,123,100002,context_fid,0.8224885526505461
Diffusion-TS,AirQuality,128,123,100002,correlation_score,0.13465748727321625
Diffusion-TS,AirQuality,128,123,100002,discriminative_score,0.2607723577235772
Diffusion-TS,AirQuality,128,123,100002,predictive_score,0.02143558674011577
Diffusion-TS,AirQuality,128,123,100003,context_fid,0.8919444580576368
Diffusion-TS,AirQuality,128,123,100003,correlation_score,0.15950071811676025
Diffusion-TS,AirQuality,128,123,100003,discriminative_score,0.26199186991869916
Diffusion-TS,AirQuality,128,123,100003,predictive_score,0.02150843714601554
Diffusion-TS,AirQuality,128,123,100004,context_fid,0.8791761351211855
Diffusion-TS,AirQuality,128,123,100004,correlation_score,0.15391406416893005
Diffusion-TS,AirQuality,128,123,100004,discriminative_score,0.25630081300813007
Diffusion-TS,AirQuality,128,123,100004,predictive_score,0.021153739088579943
Diffusion-TS,AirQuality,256,0,100000,context_fid,0.6223845595650355
Diffusion-TS,AirQuality,256,0,100000,correlation_score,0.11561062186956406
Diffusion-TS,AirQuality,256,0,100000,discriminative_score,0.11768292682926833
Diffusion-TS,AirQuality,256,0,100000,predictive_score,0.02046433015425464
Diffusion-TS,AirQuality,256,0,100001,context_fid,0.6493966395819321
Diffusion-TS,AirQuality,256,0,100001,correlation_score,0.12084493786096573
Diffusion-TS,AirQuality,256,0,100001,discriminative_score,0.12052845528455285
Diffusion-TS,AirQuality,256,0,100001,predictive_score,0.02050438283542159
Diffusion-TS,AirQuality,256,0,100002,context_fid,0.6683233709835387
Diffusion-TS,AirQuality,256,0,100002,correlation_score,0.12488337606191635
Diffusion-TS,AirQuality,256,0,100002,discriminative_score,0.08475609756097564
Diffusion-TS,AirQuality,256,0,100002,predictive_score,0.020470263403694844
Diffusion-TS,AirQuality,256,0,100003,context_fid,0.6472539631719332
Diffusion-TS,AirQuality,256,0,100003,correlation_score,0.1210690513253212
Diffusion-TS,AirQuality,256,0,100003,discriminative_score,0.1030487804878049
Diffusion-TS,AirQuality,256,0,100003,predictive_score,0.020424612254373642
Diffusion-TS,AirQuality,256,0,100004,context_fid,0.6555906693109592
Diffusion-TS,AirQuality,256,0,100004,correlation_score,0.11716236174106598
Diffusion-TS,AirQuality,256,0,100004,discriminative_score,0.11646341463414633
Diffusion-TS,AirQuality,256,0,100004,predictive_score,0.020320600373073223
Diffusion-TS,AirQuality,256,42,100000,context_fid,0.9841732978540776
Diffusion-TS,AirQuality,256,42,100000,correlation_score,0.09982851147651672
Diffusion-TS,AirQuality,256,42,100000,discriminative_score,0.3233739837398374
Diffusion-TS,AirQuality,256,42,100000,predictive_score,0.02009037276464672
Diffusion-TS,AirQuality,256,42,100001,context_fid,1.0027119503454636
Diffusion-TS,AirQuality,256,42,100001,correlation_score,0.10305707156658173
Diffusion-TS,AirQuality,256,42,100001,discriminative_score,0.3121951219512195
Diffusion-TS,AirQuality,256,42,100001,predictive_score,0.020306081319934794
Diffusion-TS,AirQuality,256,42,100002,context_fid,1.060579982964115
Diffusion-TS,AirQuality,256,42,100002,correlation_score,0.11573585122823715
Diffusion-TS,AirQuality,256,42,100002,discriminative_score,0.3290650406504065
Diffusion-TS,AirQuality,256,42,100002,predictive_score,0.020239592469048755
Diffusion-TS,AirQuality,256,42,100003,context_fid,1.0478884603783178
Diffusion-TS,AirQuality,256,42,100003,correlation_score,0.11027926206588745
Diffusion-TS,AirQuality,256,42,100003,discriminative_score,0.2951219512195122
Diffusion-TS,AirQuality,256,42,100003,predictive_score,0.020257945243429276
Diffusion-TS,AirQuality,256,42,100004,context_fid,1.039925890577121
Diffusion-TS,AirQuality,256,42,100004,correlation_score,0.11325566470623016
Diffusion-TS,AirQuality,256,42,100004,discriminative_score,0.30345528455284554
Diffusion-TS,AirQuality,256,42,100004,predictive_score,0.02007218935508111
Diffusion-TS,AirQuality,256,123,100000,context_fid,1.4533089012467324
Diffusion-TS,AirQuality,256,123,100000,correlation_score,0.15117962658405304
Diffusion-TS,AirQuality,256,123,100000,discriminative_score,0.32195121951219513
Diffusion-TS,AirQuality,256,123,100000,predictive_score,0.01998044851529812
Diffusion-TS,AirQuality,256,123,100001,context_fid,1.4845528652006657
Diffusion-TS,AirQuality,256,123,100001,correlation_score,0.17254886031150818
Diffusion-TS,AirQuality,256,123,100001,discriminative_score,0.3144308943089431
Diffusion-TS,AirQuality,256,123,100001,predictive_score,0.020019431229002294
Diffusion-TS,AirQuality,256,123,100002,context_fid,1.4322152316790637
Diffusion-TS,AirQuality,256,123,100002,correlation_score,0.1496104896068573
Diffusion-TS,AirQuality,256,123,100002,discriminative_score,0.3201219512195122
Diffusion-TS,AirQuality,256,123,100002,predictive_score,0.019845859414128125
Diffusion-TS,AirQuality,256,123,100003,context_fid,1.4615902126702665
Diffusion-TS,AirQuality,256,123,100003,correlation_score,0.17485390603542328
Diffusion-TS,AirQuality,256,123,100003,discriminative_score,0.30914634146341463
Diffusion-TS,AirQuality,256,123,100003,predictive_score,0.020058075382091072
Diffusion-TS,AirQuality,256,123,100004,context_fid,1.4941834335196544
Diffusion-TS,AirQuality,256,123,100004,correlation_score,0.16679035127162933
Diffusion-TS,AirQuality,256,123,100004,discriminative_score,0.317479674796748
Diffusion-TS,AirQuality,256,123,100004,predictive_score,0.02024142336525377
Diffusion-TS,ETTh,64,0,100000,context_fid,0.3040461422998497
Diffusion-TS,ETTh,64,0,100000,correlation_score,0.07823969423770905
Diffusion-TS,ETTh,64,0,100000,discriminative_score,0.11077235772357723
Diffusion-TS,ETTh,64,0,100000,predictive_score,0.11910148889402687
Diffusion-TS,ETTh,64,0,100001,context_fid,0.3064087047972038
Diffusion-TS,ETTh,64,0,100001,correlation_score,0.08226947486400604
Diffusion-TS,ETTh,64,0,100001,discriminative_score,0.09044715447154468
Diffusion-TS,ETTh,64,0,100001,predictive_score,0.11875614341958378
Diffusion-TS,ETTh,64,0,100002,context_fid,0.334929890860636
Diffusion-TS,ETTh,64,0,100002,correlation_score,0.07663361728191376
Diffusion-TS,ETTh,64,0,100002,discriminative_score,0.10060975609756095
Diffusion-TS,ETTh,64,0,100002,predictive_score,0.11949766113320948
Diffusion-TS,ETTh,64,0,100003,context_fid,0.29423968220460645
Diffusion-TS,ETTh,64,0,100003,correlation_score,0.08251265436410904
Diffusion-TS,ETTh,64,0,100003,discriminative_score,0.10406504065040649
Diffusion-TS,ETTh,64,0,100003,predictive_score,0.11896936548009762
Diffusion-TS,ETTh,64,0,100004,context_fid,0.2987104339998463
Diffusion-TS,ETTh,64,0,100004,correlation_score,0.08818252384662628
Diffusion-TS,ETTh,64,0,100004,discriminative_score,0.09329268292682924
Diffusion-TS,ETTh,64,0,100004,predictive_score,0.11993319421056488
Diffusion-TS,ETTh,64,42,100000,context_fid,0.3232636682413927
Diffusion-TS,ETTh,64,42,100000,correlation_score,0.07811922580003738
Diffusion-TS,ETTh,64,42,100000,discriminative_score,0.09979674796747966
Diffusion-TS,ETTh,64,42,100000,predictive_score,0.11826790867273
Diffusion-TS,ETTh,64,42,100001,context_fid,0.3217880122256526
Diffusion-TS,ETTh,64,42,100001,correlation_score,0.07448089867830276
Diffusion-TS,ETTh,64,42,100001,discriminative_score,0.0873983739837398
Diffusion-TS,ETTh,64,42,100001,predictive_score,0.11981895982527628
Diffusion-TS,ETTh,64,42,100002,context_fid,0.33069836237623884
Diffusion-TS,ETTh,64,42,100002,correlation_score,0.07309860736131668
Diffusion-TS,ETTh,64,42,100002,discriminative_score,0.09837398373983737
Diffusion-TS,ETTh,64,42,100002,predictive_score,0.11905350574784279
Diffusion-TS,ETTh,64,42,100003,context_fid,0.3251119327287857
Diffusion-TS,ETTh,64,42,100003,correlation_score,0.07002419233322144
Diffusion-TS,ETTh,64,42,100003,discriminative_score,0.10447154471544713
Diffusion-TS,ETTh,64,42,100003,predictive_score,0.1191886899595526
Diffusion-TS,ETTh,64,42,100004,context_fid,0.3379921258014456
Diffusion-TS,ETTh,64,42,100004,correlation_score,0.07716147601604462
Diffusion-TS,ETTh,64,42,100004,discriminative_score,0.09186991869918697
Diffusion-TS,ETTh,64,42,100004,predictive_score,0.11970414061564345
Diffusion-TS,ETTh,64,123,100000,context_fid,0.2852309568935454
Diffusion-TS,ETTh,64,123,100000,correlation_score,0.0659644603729248
Diffusion-TS,ETTh,64,123,100000,discriminative_score,0.09308943089430892
Diffusion-TS,ETTh,64,123,100000,predictive_score,0.1175534991744674
Diffusion-TS,ETTh,64,123,100001,context_fid,0.26951857248805483
Diffusion-TS,ETTh,64,123,100001,correlation_score,0.07099536061286926
Diffusion-TS,ETTh,64,123,100001,discriminative_score,0.08516260162601623
Diffusion-TS,ETTh,64,123,100001,predictive_score,0.11831237778915238
Diffusion-TS,ETTh,64,123,100002,context_fid,0.32236958474164035
Diffusion-TS,ETTh,64,123,100002,correlation_score,0.06942471861839294
Diffusion-TS,ETTh,64,123,100002,discriminative_score,0.10995934959349592
Diffusion-TS,ETTh,64,123,100002,predictive_score,0.11908486504747391
Diffusion-TS,ETTh,64,123,100003,context_fid,0.2660656734877965
Diffusion-TS,ETTh,64,123,100003,correlation_score,0.06758521497249603
Diffusion-TS,ETTh,64,123,100003,discriminative_score,0.0977642276422764
Diffusion-TS,ETTh,64,123,100003,predictive_score,0.11852953912421071
Diffusion-TS,ETTh,64,123,100004,context_fid,0.31659264545480154
Diffusion-TS,ETTh,64,123,100004,correlation_score,0.06677152216434479
Diffusion-TS,ETTh,64,123,100004,discriminative_score,0.09349593495934956
Diffusion-TS,ETTh,64,123,100004,predictive_score,0.11957034286827668
Diffusion-TS,ETTh,128,0,100000,context_fid,0.5218436466071997
Diffusion-TS,ETTh,128,0,100000,correlation_score,0.07985271513462067
Diffusion-TS,ETTh,128,0,100000,discriminative_score,0.1089430894308943
Diffusion-TS,ETTh,128,0,100000,predictive_score,0.1154971686432873
Diffusion-TS,ETTh,128,0,100001,context_fid,0.5245690128227816
Diffusion-TS,ETTh,128,0,100001,correlation_score,0.0726497545838356
Diffusion-TS,ETTh,128,0,100001,discriminative_score,0.11565040650406504
Diffusion-TS,ETTh,128,0,100001,predictive_score,0.12281949227879825
Diffusion-TS,ETTh,128,0,100002,context_fid,0.5813392659144387
Diffusion-TS,ETTh,128,0,100002,correlation_score,0.085953488945961
Diffusion-TS,ETTh,128,0,100002,discriminative_score,0.12784552845528455
Diffusion-TS,ETTh,128,0,100002,predictive_score,0.11458370202156705
Diffusion-TS,ETTh,128,0,100003,context_fid,0.5348176460071247
Diffusion-TS,ETTh,128,0,100003,correlation_score,0.08042622357606888
Diffusion-TS,ETTh,128,0,100003,discriminative_score,0.12703252032520326
Diffusion-TS,ETTh,128,0,100003,predictive_score,0.1157306228813771
Diffusion-TS,ETTh,128,0,100004,context_fid,0.48769732151981066
Diffusion-TS,ETTh,128,0,100004,correlation_score,0.07768642902374268
Diffusion-TS,ETTh,128,0,100004,discriminative_score,0.1018292682926829
Diffusion-TS,ETTh,128,0,100004,predictive_score,0.11475796570463596
Diffusion-TS,ETTh,128,42,100000,context_fid,0.6024638290976099
Diffusion-TS,ETTh,128,42,100000,correlation_score,0.09998904168605804
Diffusion-TS,ETTh,128,42,100000,discriminative_score,0.12764227642276424
Diffusion-TS,ETTh,128,42,100000,predictive_score,0.11778655327043452
Diffusion-TS,ETTh,128,42,100001,context_fid,0.5693686826807337
Diffusion-TS,ETTh,128,42,100001,correlation_score,0.09383755177259445
Diffusion-TS,ETTh,128,42,100001,discriminative_score,0.12926829268292683
Diffusion-TS,ETTh,128,42,100001,predictive_score,0.11837570971844495
Diffusion-TS,ETTh,128,42,100002,context_fid,0.5683020174703357
Diffusion-TS,ETTh,128,42,100002,correlation_score,0.09830062091350555
Diffusion-TS,ETTh,128,42,100002,discriminative_score,0.12947154471544717
Diffusion-TS,ETTh,128,42,100002,predictive_score,0.11548661938938191
Diffusion-TS,ETTh,128,42,100003,context_fid,0.5498068904765102
Diffusion-TS,ETTh,128,42,100003,correlation_score,0.09707177430391312
Diffusion-TS,ETTh,128,42,100003,discriminative_score,0.13678861788617888
Diffusion-TS,ETTh,128,42,100003,predictive_score,0.11642326746702263
Diffusion-TS,ETTh,128,42,100004,context_fid,0.5947037215132919
Diffusion-TS,ETTh,128,42,100004,correlation_score,0.09699739515781403
Diffusion-TS,ETTh,128,42,100004,discriminative_score,0.13211382113821138
Diffusion-TS,ETTh,128,42,100004,predictive_score,0.11557089656813939
Diffusion-TS,ETTh,128,123,100000,context_fid,1.8727587170422544
Diffusion-TS,ETTh,128,123,100000,correlation_score,0.1043233871459961
Diffusion-TS,ETTh,128,123,100000,discriminative_score,0.19613821138211382
Diffusion-TS,ETTh,128,123,100000,predictive_score,0.11589543423482003
Diffusion-TS,ETTh,128,123,100001,context_fid,1.8677887377787155
Diffusion-TS,ETTh,128,123,100001,correlation_score,0.10846416652202606
Diffusion-TS,ETTh,128,123,100001,discriminative_score,0.19735772357723572
Diffusion-TS,ETTh,128,123,100001,predictive_score,0.11864258758472108
Diffusion-TS,ETTh,128,123,100002,context_fid,1.9153359511816106
Diffusion-TS,ETTh,128,123,100002,correlation_score,0.10566280037164688
Diffusion-TS,ETTh,128,123,100002,discriminative_score,0.19979674796747962
Diffusion-TS,ETTh,128,123,100002,predictive_score,0.11875097067028643
Diffusion-TS,ETTh,128,123,100003,context_fid,1.883554084718584
Diffusion-TS,ETTh,128,123,100003,correlation_score,0.10461544990539551
Diffusion-TS,ETTh,128,123,100003,discriminative_score,0.20609756097560972
Diffusion-TS,ETTh,128,123,100003,predictive_score,0.12115645624877895
Diffusion-TS,ETTh,128,123,100004,context_fid,1.8875759648760175
Diffusion-TS,ETTh,128,123,100004,correlation_score,0.10801317542791367
Diffusion-TS,ETTh,128,123,100004,discriminative_score,0.20182926829268288
Diffusion-TS,ETTh,128,123,100004,predictive_score,0.12629143991337818
Diffusion-TS,ETTh,256,0,100000,context_fid,2.713465151777509
Diffusion-TS,ETTh,256,0,100000,correlation_score,0.17238393425941467
Diffusion-TS,ETTh,256,0,100000,discriminative_score,0.2282520325203252
Diffusion-TS,ETTh,256,0,100000,predictive_score,0.11926142466548602
Diffusion-TS,ETTh,256,0,100001,context_fid,2.6158191040927723
Diffusion-TS,ETTh,256,0,100001,correlation_score,0.16949422657489777
Diffusion-TS,ETTh,256,0,100001,discriminative_score,0.23272357723577233
Diffusion-TS,ETTh,256,0,100001,predictive_score,0.1191349522711486
Diffusion-TS,ETTh,256,0,100002,context_fid,2.622351776865091
Diffusion-TS,ETTh,256,0,100002,correlation_score,0.1771172285079956
Diffusion-TS,ETTh,256,0,100002,discriminative_score,0.2119918699186992
Diffusion-TS,ETTh,256,0,100002,predictive_score,0.1197369290853203
Diffusion-TS,ETTh,256,0,100003,context_fid,2.7143236333282967
Diffusion-TS,ETTh,256,0,100003,correlation_score,0.17462289333343506
Diffusion-TS,ETTh,256,0,100003,discriminative_score,0.22601626016260165
Diffusion-TS,ETTh,256,0,100003,predictive_score,0.11963469212120496
Diffusion-TS,ETTh,256,0,100004,context_fid,2.6497451381092216
Diffusion-TS,ETTh,256,0,100004,correlation_score,0.17440000176429749
Diffusion-TS,ETTh,256,0,100004,discriminative_score,0.225
Diffusion-TS,ETTh,256,0,100004,predictive_score,0.11866701126079231
Diffusion-TS,ETTh,256,42,100000,context_fid,0.8142109131770537
Diffusion-TS,ETTh,256,42,100000,correlation_score,0.12482640892267227
Diffusion-TS,ETTh,256,42,100000,discriminative_score,0.1554878048780488
Diffusion-TS,ETTh,256,42,100000,predictive_score,0.11496463215341161
Diffusion-TS,ETTh,256,42,100001,context_fid,0.8064639246075137
Diffusion-TS,ETTh,256,42,100001,correlation_score,0.12322281301021576
Diffusion-TS,ETTh,256,42,100001,discriminative_score,0.150609756097561
Diffusion-TS,ETTh,256,42,100001,predictive_score,0.11598331684505563
Diffusion-TS,ETTh,256,42,100002,context_fid,0.8661642636800999
Diffusion-TS,ETTh,256,42,100002,correlation_score,0.13605287671089172
Diffusion-TS,ETTh,256,42,100002,discriminative_score,0.15264227642276426
Diffusion-TS,ETTh,256,42,100002,predictive_score,0.11615438491677803
Diffusion-TS,ETTh,256,42,100003,context_fid,0.815522551035729
Diffusion-TS,ETTh,256,42,100003,correlation_score,0.1277564913034439
Diffusion-TS,ETTh,256,42,100003,discriminative_score,0.13028455284552845
Diffusion-TS,ETTh,256,42,100003,predictive_score,0.11482256426537181
Diffusion-TS,ETTh,256,42,100004,context_fid,0.8198625566474239
Diffusion-TS,ETTh,256,42,100004,correlation_score,0.12447531521320343
Diffusion-TS,ETTh,256,42,100004,discriminative_score,0.14329268292682928
Diffusion-TS,ETTh,256,42,100004,predictive_score,0.12159548239333162
Diffusion-TS,ETTh,256,123,100000,context_fid,2.662199401264568
Diffusion-TS,ETTh,256,123,100000,correlation_score,0.1464516669511795
Diffusion-TS,ETTh,256,123,100000,discriminative_score,0.2410569105691057
Diffusion-TS,ETTh,256,123,100000,predictive_score,0.11633418701831033
Diffusion-TS,ETTh,256,123,100001,context_fid,2.6964694417202097
Diffusion-TS,ETTh,256,123,100001,correlation_score,0.14005737006664276
Diffusion-TS,ETTh,256,123,100001,discriminative_score,0.25182926829268293
Diffusion-TS,ETTh,256,123,100001,predictive_score,0.11659645642081766
Diffusion-TS,ETTh,256,123,100002,context_fid,2.7134015073840625
Diffusion-TS,ETTh,256,123,100002,correlation_score,0.14572525024414062
Diffusion-TS,ETTh,256,123,100002,discriminative_score,0.23394308943089429
Diffusion-TS,ETTh,256,123,100002,predictive_score,0.11746059204779158
Diffusion-TS,ETTh,256,123,100003,context_fid,2.676917101161027
Diffusion-TS,ETTh,256,123,100003,correlation_score,0.14300104975700378
Diffusion-TS,ETTh,256,123,100003,discriminative_score,0.24247967479674795
Diffusion-TS,ETTh,256,123,100003,predictive_score,0.1183253972849343
Diffusion-TS,ETTh,256,123,100004,context_fid,2.7041878929093106
Diffusion-TS,ETTh,256,123,100004,correlation_score,0.14507487416267395
Diffusion-TS,ETTh,256,123,100004,discriminative_score,0.24776422764227643
Diffusion-TS,ETTh,256,123,100004,predictive_score,0.1189674203648489
Diffusion-TS,Energy,64,0,100000,context_fid,0.8035916016472525
Diffusion-TS,Energy,64,0,100000,correlation_score,1.3014601469039917
Diffusion-TS,Energy,64,0,100000,discriminative_score,0.3908536585365854
Diffusion-TS,Energy,64,0,100000,predictive_score,0.2562634431609088
Diffusion-TS,Energy,64,0,100001,context_fid,0.7990462315309378
Diffusion-TS,Energy,64,0,100001,correlation_score,1.2922662496566772
Diffusion-TS,Energy,64,0,100001,discriminative_score,0.3790650406504065
Diffusion-TS,Energy,64,0,100001,predictive_score,0.25711249773545813
Diffusion-TS,Energy,64,0,100002,context_fid,0.8145866497943167
Diffusion-TS,Energy,64,0,100002,correlation_score,1.3433053493499756
Diffusion-TS,Energy,64,0,100002,discriminative_score,0.37703252032520324
Diffusion-TS,Energy,64,0,100002,predictive_score,0.25736310229209874
Diffusion-TS,Energy,64,0,100003,context_fid,0.7953544014389977
Diffusion-TS,Energy,64,0,100003,correlation_score,1.2922768592834473
Diffusion-TS,Energy,64,0,100003,discriminative_score,0.3758130081300813
Diffusion-TS,Energy,64,0,100003,predictive_score,0.25650502822585014
Diffusion-TS,Energy,64,0,100004,context_fid,0.8076689019190182
Diffusion-TS,Energy,64,0,100004,correlation_score,1.3142038583755493
Diffusion-TS,Energy,64,0,100004,discriminative_score,0.3882113821138211
Diffusion-TS,Energy,64,0,100004,predictive_score,0.2571087564453289
Diffusion-TS,Energy,64,42,100000,context_fid,0.5994801467951084
Diffusion-TS,Energy,64,42,100000,correlation_score,1.1630449295043945
Diffusion-TS,Energy,64,42,100000,discriminative_score,0.3571138211382114
