family,dataset,sequence_length,model_seed,metric,value
PETS-U,AirQuality,128,0,predictive_score,0.02046585617075986
PETS-U,AirQuality,128,42,context_fid,0.5173522393204807
PETS-U,AirQuality,128,42,correlation_score,0.10614075809717179
PETS-U,AirQuality,128,42,discriminative_score,0.22552845528455284
PETS-U,AirQuality,128,42,predictive_score,0.02059347034561749
PETS-U,AirQuality,128,123,context_fid,0.6864742505218613
PETS-U,AirQuality,128,123,correlation_score,0.11602503955364227
PETS-U,AirQuality,128,123,discriminative_score,0.16695121951219516
PETS-U,AirQuality,128,123,predictive_score,0.020372876028583658
PETS-U,AirQuality,256,0,context_fid,3.169725538571874
PETS-U,AirQuality,256,0,correlation_score,0.17401340305805207
PETS-U,AirQuality,256,0,discriminative_score,0.2890243902439024
PETS-U,AirQuality,256,0,predictive_score,0.023240404136193625
PETS-U,AirQuality,256,42,context_fid,0.8756967504856755
PETS-U,AirQuality,256,42,correlation_score,0.14667493104934692
PETS-U,AirQuality,256,42,discriminative_score,0.2602439024390244
PETS-U,AirQuality,256,42,predictive_score,0.02074428498497885
PETS-U,AirQuality,256,123,context_fid,1.1020592643186877
PETS-U,AirQuality,256,123,correlation_score,0.10640866905450821
PETS-U,AirQuality,256,123,discriminative_score,0.2795121951219512
PETS-U,AirQuality,256,123,predictive_score,0.02021587377278896
PETS-U,ETTh,64,0,context_fid,0.8972622654203437
PETS-U,ETTh,64,0,correlation_score,0.11706358045339585
PETS-U,ETTh,64,0,discriminative_score,0.15231707317073173
PETS-U,ETTh,64,0,predictive_score,0.1235158009035634
PETS-U,ETTh,64,42,context_fid,0.5961923168783366
PETS-U,ETTh,64,42,correlation_score,0.08454252034425735
PETS-U,ETTh,64,42,discriminative_score,0.11752032520325202
PETS-U,ETTh,64,42,predictive_score,0.12166507757933687
PETS-U,ETTh,64,123,context_fid,0.7011030204133202
PETS-U,ETTh,64,123,correlation_score,0.08233941197395325
PETS-U,ETTh,64,123,discriminative_score,0.13195121951219513
PETS-U,ETTh,64,123,predictive_score,0.12184111392202794
PETS-U,ETTh,128,0,context_fid,0.8862120560386973
PETS-U,ETTh,128,0,correlation_score,0.07169368863105774
PETS-U,ETTh,128,0,discriminative_score,0.14321138211382117
PETS-U,ETTh,128,0,predictive_score,0.11504291761281518
PETS-U,ETTh,128,42,context_fid,0.9413689782748706
PETS-U,ETTh,128,42,correlation_score,0.08554461747407913
PETS-U,ETTh,128,42,discriminative_score,0.15121951219512197
PETS-U,ETTh,128,42,predictive_score,0.1158014040433348
PETS-U,ETTh,128,123,context_fid,0.959704330847479
PETS-U,ETTh,128,123,correlation_score,0.08161239475011825
PETS-U,ETTh,128,123,discriminative_score,0.1686585365853659
PETS-U,ETTh,128,123,predictive_score,0.11632477365343827
PETS-U,ETTh,256,0,context_fid,1.8408464341432953
PETS-U,ETTh,256,0,correlation_score,0.10697218328714371
PETS-U,ETTh,256,0,discriminative_score,0.2121544715447154
PETS-U,ETTh,256,0,predictive_score,0.11722044247905312
PETS-U,ETTh,256,42,context_fid,1.6210247574985004
PETS-U,ETTh,256,42,correlation_score,0.11548863500356674
PETS-U,ETTh,256,42,discriminative_score,0.20300813008130078
PETS-U,ETTh,256,42,predictive_score,0.11336863382415079
