dataset,sequence_length,evaluator_seed,input_dims,batch_size,learning_rate,output_dims,max_train_length,iterations,epochs,fit_data_sha256,sha256,runtime_seconds,gpu
ETTh,128,42,7,8,0.001,320,3000,600,1,7738f737c4dfcedd618d7ad6f490ed21d761bacb5f690c68e54a6607f5d6e950,109d16316c9dc14d90f2f46316e97cf31ca350b9ce8bebc49c0c375fe11fb1df,11.28614354133606,2
ETTh,128,0,7,8,0.001,320,3000,600,1,7738f737c4dfcedd618d7ad6f490ed21d761bacb5f690c68e54a6607f5d6e950,ebee681142cb75ccfd74766387b8599a4f62456e61f0e0a37763b506dfbcdad4,11.095269680023193,0
ETTh,64,123,7,8,0.001,320,3000,600,1,cdc35aa47ea833d7d776683628a7cc1b1aac76f389b2775c001a5f99adfe98bf,e5203cb8a7a56c457742cac6c654593abfb50b2ff02d3c7e71e70e0c8d3793c8,12.615822792053223,1
ETTh,64,42,7,8,0.001,320,3000,600,1,cdc35aa47ea833d7d776683628a7cc1b1aac76f389b2775c001a5f99adfe98bf,94c6a25c9bc8a9e28f031181f5ff47077a72cdab8794766bc2e16539dc51438f,12.040608644485474,2
ETTh,64,0,7,8,0.001,320,3000,600,1,cdc35aa47ea833d7d776683628a7cc1b1aac76f389b2775c001a5f99adfe98bf,59d0a5936f5b5a71ccbf4d21dc12a2b781f29702d5b1aab240103cfa277573b8,12.03663969039917,0
ETTh,256,123,7,8,0.001,320,3000,600,1,a24f236875ae64e90ac2659e91858d641ab1afc1e0a10df901307ea5e750b5bb,447889ca64eb2a17187271cb86d28a236a32fc1d1fc10845925dba446fa3ef13,14.148690938949585,1
ETTh,256,42,7,8,0.001,320,3000,600,1,a24f236875ae64e90ac2659e91858d641ab1afc1e0a10df901307ea5e750b5bb,b297db2ab76ddc3372d8e4214b573341ef8e0e88003c289a6aaf0eb257e98ea2,14.974085092544556,2
ETTh,256,0,7,8,0.001,320,3000,600,1,a24f236875ae64e90ac2659e91858d641ab1afc1e0a10df901307ea5e750b5bb,231c3fc95add1734d331d9d058e7dbf2858b483030abe471f373dec4397ed676,14.078840970993042,0
Energy,128,123,28,8,0.001,320,3000,600,1,0082877761fe99d6f9502c5bbd4a86e23459340386e532f91d26799d68158192,ecfbe2801ba023ffa5dc720749501a5f6120db38efe8b48b754ba2c186f37535,9.250007390975952,2
Energy,128,42,28,8,0.001,320,3000,600,1,0082877761fe99d6f9502c5bbd4a86e23459340386e532f91d26799d68158192,d857e785338290a7b65d6c80be7450ef66784d6e6318d3d97f647845216a37d2,9.33150029182434,1
Energy,128,0,28,8,0.001,320,3000,600,1,0082877761fe99d6f9502c5bbd4a86e23459340386e532f91d26799d68158192,033ace6ef310c4de65d58f080975ad0999ff4ef187db20112388ead0a590e5dd,9.985599517822266,0
Energy,64,123,28,8,0.001,320,3000,600,1,4de04ef73b0e56b19af594a31b813a4697ed7c514b305259bb0ad4595412bc35,86dfd75896f09364782666c9d2d0b655590928a10145b99e60549b8f73b84c8f,8.339012145996094,2
Energy,64,42,28,8,0.001,320,3000,600,1,4de04ef73b0e56b19af594a31b813a4697ed7c514b305259bb0ad4595412bc35,00dc92bd6515fe68eee02af744a69e1371126d48b7b5d85b074b3d8300e57f19,8.400303840637207,1
Energy,64,0,28,8,0.001,320,3000,600,1,4de04ef73b0e56b19af594a31b813a4697ed7c514b305259bb0ad4595412bc35,e8d08773d359ecd44a8292b3ffa1f82efb10466c14a2eceecf06146a4de56f47,8.53352665901184,0
Energy,256,123,28,8,0.001,320,3000,600,1,85497375d523f70b566ec01c5da04796afe02d4640334dc033d8d61f3fccd859,0979c0c566d4b279cbe46cf6cedb191420bf7266c649f2e1d5727dc4fd10dcdc,10.257120370864868,2
Energy,256,42,28,8,0.001,320,3000,600,1,85497375d523f70b566ec01c5da04796afe02d4640334dc033d8d61f3fccd859,6b69e4a8ea55c06bb4f7b267b4f5c203e62b4498a10f5f67edfb5060e6dcbbe1,10.288130044937134,1
Energy,256,0,28,8,0.001,320,3000,600,1,85497375d523f70b566ec01c5da04796afe02d4640334dc033d8d61f3fccd859,1a81b979be4d13168b47f25f85f4f5fffa9523d0905efbf7338aa65fccd4753c,10.269302368164062,0
