family,dataset,sequence_length,model_seed,status,runtime_seconds,peak_memory_mb,measurement_source,checkpoint,checkpoint_sha256
Diffusion-TS,ETTh,256,123,TRAIN_COMPLETE,2663.653426885605,3755.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/ETTh/T256/seed_123/checkpoints_256/checkpoint-10.pt,e4f5658621b3ca4d4e5b57cd4956cc1f1703877647bccddaf53b4806c784e9b3
PETS-U,ETTh,128,0,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_0/checkpoints/checkpoint-10.pt,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd
PETS-U,ETTh,128,42,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_42/checkpoints/checkpoint-10.pt,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973
PETS-U,ETTh,128,123,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/true_unconditional_pets_vs_diffts/training/PETS_U/seed_123/checkpoints/checkpoint-10.pt,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a
Diffusion-TS,ETTh,128,0,REUSED,,,historical_reuse_not_reinstrumented,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_0/checkpoints_128/checkpoint-10.pt,0b4c085bedacc01cc685c1be1d5b48f587b65c3de97f11b7d94ff35dc1eb2370
Diffusion-TS,ETTh,128,42,REUSED,,,historical_reuse_not_reinstrumented,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_42/checkpoints_128/checkpoint-10.pt,ef7a080800005684dcea0ba2acf3b866a9dbea1c7dfd52578c2697ccc24028a6
Diffusion-TS,ETTh,128,123,REUSED,,,historical_reuse_not_reinstrumented,/path/to/Diffusion-TS/artifacts/uncond/etth/seed_123/checkpoints_128/checkpoint-10.pt,3be988a75c00b2ef3ea898de110cb9a21bd4863198e086896b88c62b59840214
PETS-U,AirQuality,128,0,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_0/checkpoints/checkpoint-10.pt,c1ed048ab649a8b90a0e27abd4ebc021aea6e75ed226e87fbfd0d0fd765a7ee5
PETS-U,AirQuality,128,42,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_42/checkpoints/checkpoint-10.pt,51d7f40fd0fc630e4166e67e47a66904bacc31562d97b8a3be094a36749983ab
PETS-U,AirQuality,128,123,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T128/seed_123/checkpoints/checkpoint-10.pt,3270a02cf7107713eaf363213847d5685b71faffa492b8f647b5e8aea6185b6e
Diffusion-TS,AirQuality,128,0,TRAIN_COMPLETE,1664.1907963752747,1759.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T128/seed_0/checkpoints_128/checkpoint-10.pt,23aa2a0489865dafdb0e19f2c77f6e1f33320be8d584dc75b2433b7e750aead3
Diffusion-TS,AirQuality,128,42,TRAIN_COMPLETE,1664.2064423561096,1759.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T128/seed_42/checkpoints_128/checkpoint-10.pt,422addbb3473585c723e1d258c25c15c2545fb5038b1af95afac62683d04c52c
Diffusion-TS,AirQuality,128,123,TRAIN_COMPLETE,1664.1955425739288,1759.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T128/seed_123/checkpoints_128/checkpoint-10.pt,66976c10d1f6f11dcc2c2b5487854ad844b9c820d8c8d91f0d6caef51e0642ba
PETS-U,AirQuality,64,0,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_0/checkpoints/checkpoint-10.pt,7c8bc0322c4288bf51847a08867d251d17e61b8528e1ff015540509a2328636b
PETS-U,AirQuality,64,42,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_42/checkpoints/checkpoint-10.pt,bf6c2290c5124c3b7ba63bf14a8c1664e443e1da0f6870f2a3aa72f8644195bf
PETS-U,AirQuality,64,123,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T64/seed_123/checkpoints/checkpoint-10.pt,b0c0df6e061380d1b292639a7600e4041743d217bc578dbd728f7fea4f386513
Diffusion-TS,AirQuality,64,0,TRAIN_COMPLETE,1431.9850583076477,1153.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T64/seed_0/checkpoints_64/checkpoint-10.pt,daabb48525bc6bc0d6ec421cc273257571686ccd2e6d466b740ce9622358c67c
Diffusion-TS,AirQuality,64,42,TRAIN_COMPLETE,1442.4074003696442,1153.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T64/seed_42/checkpoints_64/checkpoint-10.pt,8ee7e9125fb641a12f2b458fcb87971670c7fabe99bcdeb38c7161472cbf2170
Diffusion-TS,AirQuality,64,123,TRAIN_COMPLETE,1442.3903934955597,1153.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T64/seed_123/checkpoints_64/checkpoint-10.pt,95b976d4400b505118b4b6b6d61fdae142ee81c37e6cebbde751e79254d854e3
PETS-U,AirQuality,256,0,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_0/checkpoints/checkpoint-10.pt,fcd4d7caa66aa938eab0d598b09c0aad667e8bade3eb0e9ba7e7d9a65bcfe523
PETS-U,AirQuality,256,42,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_42/checkpoints/checkpoint-10.pt,5281a6792af30a680955506b408dbbacaf80cbc04c30f620661b65153fa6bafe
PETS-U,AirQuality,256,123,REUSED,,,historical_reuse_not_reinstrumented,/path/to/PETS-FFT-Ablation/results/unconditional_aa_aa_three_dataset/AirQuality/T256/seed_123/checkpoints/checkpoint-10.pt,8ee3f5a561fec3a0c8c08e3944f1f76071eca4f31c100dc9cc7367c6111ed0a4
Diffusion-TS,AirQuality,256,0,TRAIN_COMPLETE,2664.033885717392,3573.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T256/seed_0/checkpoints_256/checkpoint-10.pt,bb656a8ede570ddcbc82cbf2da950c2133b423fc4c8db661316f39f20233a890
Diffusion-TS,AirQuality,256,42,TRAIN_COMPLETE,2663.725242137909,3573.0,isolated_training_complete_manifest,/path/to/PETS-FFT-Ablation/results/final_unconditional_main_v1/work/Diffusion_TS/AirQuality/T256/seed_42/checkpoints_256/checkpoint-10.pt,b695b730e48b480bccbba13027e724b9cf95e541e372f513e759b46be43e5484
