dataset,system,seed,split,draws,windows,ensemble_mean_mae,ensemble_mean_rmse,expected_sample_mae,expected_sample_rmse,empirical_crps,normalized_energy_score,weighted_interval_score,picp_50,mpiw_50,interval_score_50,picp_80,mpiw_80,interval_score_80,picp_90,mpiw_90,interval_score_90,picp_95,mpiw_95,interval_score_95,mean_ensemble_std,median_ensemble_std,spread_skill_ratio,mean_absolute_coverage_error,slope_mae,curvature_mae,high_curvature_mae,derivative_sign_agreement,turning_point_f1_pm2,boundary_jump_mae,spectral_log_amplitude_mae,acf_mae_lags_1_32,dominant_frequency_index_error,cross_correlation_phase_lag_mae
Energy,TS_REC_ORIGINAL,42,FINAL_TEST,10,1910,5.907627105712891,20.7269229888916,6.28502082824707,19.93294906616211,5.061374187469482,25.214700630058694,21.83997917175293,0.1067259372662677,2.9305576327000105,21.44409981452276,0.1846326897905759,5.152449858075004,43.97969138269524,0.2204366702505609,6.201263383565354,77.66083996332964,0.2374634793380703,6.72567014655434,144.31163140326623,2.276948928833008,0.3259200751781463,0.1098546528133151,0.6001853058386313,2.53212308883667,3.9694900512695312,37.42512893676758,0.4203796701926844,0.5321464221897587,2.69783878326416,0.3402333360887191,0.4406345807580849,1.4290762902019447,18.38539640987285
Energy,TS_REC_ORIGINAL,123,FINAL_TEST,10,1910,5.750402450561523,19.52254295349121,6.132587909698486,18.650754928588867,4.955396056175232,26.075307470262683,21.36417961120605,0.118148431656694,2.8148439875670954,21.017638587181324,0.2004350341249065,4.941928717167834,43.05646520220919,0.2376934134255796,5.966720285911479,75.79035044032484,0.2555263065632012,6.47911607042787,140.62775163480387,2.1879470348358154,0.3595253825187683,0.1120728503478357,0.5845492035574047,2.504021406173706,3.942066431045532,37.34043502807617,0.4236447982334295,0.5384719573047733,2.6273584365844727,0.3453008993933693,0.4415069236071512,1.4697456993268512,17.7189229618549
Energy,PETS_SHTRAIN_SH64_REC,0,FINAL_TEST,10,1910,6.514265060424805,25.26526260375977,6.857143878936768,22.79155921936035,5.561257243156433,27.128422895533024,23.959753036499023,0.1141454749439042,3.0910403414336,23.642054962377003,0.1931455100037397,5.437993350589373,48.23495330987932,0.2293073929506357,6.572366888051316,84.78769517703192,0.2467844287584143,7.139553656924309,157.06356355821922,2.4232547283172607,0.391632080078125,0.0959125090572639,0.5916542983358265,2.59710431098938,4.025202751159668,37.622371673583984,0.3979170376702164,0.5301592739544801,2.8379549980163574,0.3439416589792153,0.4378771254216699,1.5787210172026926,18.063145100972328
Energy,PETS_SHTRAIN_SH64_REC,42,FINAL_TEST,10,1910,5.899524211883545,21.23287773132324,6.271928787231445,19.615646362304688,5.109809994697571,26.83341734439224,22.07368469238281,0.1061696545437546,2.836681603552416,21.648344069010168,0.1824204141735228,4.910877142766121,44.39490668297768,0.2173023209611069,5.863670578681512,78.51318292027858,0.2341696077973074,6.3400672968180505,146.21927131680033,2.1620891094207764,0.3640670776367187,0.1018274176858849,0.6024845006310771,2.5669307708740234,4.025125503540039,37.567344665527344,0.3959619973643908,0.528938723977168,2.8005928993225098,0.3459738398857773,0.4427097723693261,1.5634255796559462,18.09302543006732
Energy,PETS_SHTRAIN_SH64_REC,123,FINAL_TEST,10,1910,6.167240142822266,23.8464469909668,6.530751705169678,22.25090980529785,5.228508830070496,25.94630604226029,22.4011287689209,0.1197892319558713,3.0785375710506253,22.278108444414155,0.203309356301421,5.456790607936576,45.08698187019473,0.2415169806469708,6.617431093526637,78.7089165725158,0.2599812429880329,7.1977513363632415,145.1013596824349,2.442323923110962,0.3884928524494171,0.102418776433912,0.5813507970269259,2.573888063430786,3.985072135925293,37.32440948486328,0.403461611520699,0.5241683829509514,2.944287061691284,0.3483518435707277,0.4384970380161296,1.5766267763649962,17.664285714285715
Energy,PETS_SHTRAIN_CG64_REC,0,FINAL_TEST,10,1910,6.310594081878662,22.112001419067383,6.569727420806885,19.90017890930176,5.636140286922455,29.260254105115106,25.05654525756836,0.0764932568249813,2.2604638963696644,23.6218028777629,0.131722139117427,3.936898148362157,50.6999980246351,0.15735847513089,4.719244766253859,92.45646047812288,0.1699502150336574,5.110418075213701,175.4774831888427,1.7562729120254517,0.2631155848503113,0.0794262300702912,0.653618978473261,2.535290479660034,3.974796772003174,37.39719772338867,0.3891091165960276,0.5311619320644085,3.323880672454834,0.3646769302816967,0.4429272808665541,1.8931937172774869,18.024289454001497
Energy,PETS_SHTRAIN_CG64_REC,42,FINAL_TEST,10,1910,6.244630813598633,22.71495819091797,6.53306770324707,20.361143112182617,5.704130709171295,26.32787140559468,25.717029571533203,0.0960172026925953,2.104924704616495,23.684642654068387,0.1487182708489154,3.530384895994244,52.1075678230206,0.172651575355273,4.142604838798627,96.81344434226774,0.1844632339192221,4.448714810352009,185.87109537628749,1.5427451133728027,0.1947931945323944,0.0679175854256968,0.6370374292959985,2.5046749114990234,3.962137460708618,37.36232376098633,0.4036453324785412,0.5265484884412283,3.605935096740722,0.3779191981063269,0.4291428148057914,1.6834330590875093,17.651645474943905
Energy,PETS_SHTRAIN_CG64_REC,123,FINAL_TEST,10,1910,5.894097805023193,21.564828872680664,6.11030912399292,19.571916580200195,5.322373986244202,26.68810506005469,23.849523544311523,0.0750391501495886,1.8513644061117709,22.27103121489156,0.1279894353029169,3.2978804684588026,48.41910172239704,0.1526505235602094,4.010188657537243,88.77280085444276,0.1648008017015707,4.366342752060545,169.08593590411778,1.4878690242767334,0.200650930404663,0.068995169544871,0.6573800223214286,2.4951138496398926,3.9303793907165527,37.16334915161133,0.3916616210183899,0.5317687862427131,3.245615005493164,0.3850884575275938,0.4421656414088332,1.6991959611069558,17.722980553477935
AirQuality,TS_REC_ORIGINAL,0,FINAL_TEST,10,872,124.95040130615234,237.57980346679688,135.50830078125,246.6549835205078,101.54813385009766,17.282969006299506,415.281982421875,0.1718929185779816,76.96175406959081,441.45064172373407,0.3066525707186544,140.36851310714837,830.1718416998851,0.3731185493119266,174.14268111016384,1359.3788298355837,0.4031680045871559,191.02976511243853,2400.7748757886425,63.04936981201172,32.51659393310547,0.2653818586091356,0.4737919892010703,49.9091682434082,63.195743560791016,245.30870056152344,0.6881704771613029,0.8333790128604194,35.38142776489258,0.4071092355614163,0.2670713588681452,1.0736493374108054,19.48369011213048
AirQuality,TS_REC_ORIGINAL,42,FINAL_TEST,10,872,138.10304260253906,256.8226623535156,152.55162048339844,273.2379455566406,109.82769393920898,18.21831124915916,438.65087890625,0.1942891501019368,98.2045128795742,480.3975296480032,0.3424439347604485,177.79657152201102,871.7413659804001,0.4109944412589195,218.43671067680268,1387.237666589279,0.44198561735474,238.7567802531445,2395.858028641612,79.3655014038086,44.44279479980469,0.3090284193634058,0.4400717141309888,56.939449310302734,67.53278350830078,267.9215393066406,0.6841779525265764,0.8507739219506314,38.11025619506836,0.4198535490166568,0.2557442249139795,1.2054026503567787,20.19393476044852
AirQuality,TS_REC_ORIGINAL,123,FINAL_TEST,10,872,138.92198181152344,258.4700012207031,152.12911987304688,271.16094970703125,111.86300659179688,18.1959432958072,449.2319641113281,0.1965309633027523,94.2318687015756,489.6548156091021,0.3389279115698267,168.08235918621335,893.4244822620078,0.4070065621814475,205.0858352718644,1427.6609876536454,0.4387702280835882,223.58757331547807,2477.3214793049297,74.21532440185547,42.38056945800781,0.287133222622939,0.4421910837155963,58.979827880859375,69.4969253540039,271.4706726074219,0.6856544180703202,0.8509536049375828,38.68694305419922,0.4194716881572544,0.2514035205570916,1.305810397553517,20.085626911314986
AirQuality,PETS_SHTRAIN_SH64_REC,0,FINAL_TEST,10,872,136.99264526367188,245.4812164306641,153.0403594970703,267.49517822265625,111.84003448486328,18.80052142342175,445.48876953125,0.1916312277013251,93.92128281001924,490.6619360948739,0.3394774146279307,171.4644026421403,886.58699638268,0.4103732638888889,211.0896859044744,1395.85891012691,0.4425112289755352,230.90232753504245,2413.0536774879656,77.37398529052734,38.374603271484375,0.3151930987452213,0.4415017162015799,59.804237365722656,73.28543090820312,253.43002319335932,0.6398496027700921,0.8708898954772597,40.52066040039063,0.4171197816488039,0.2830719892824607,1.2284658511722732,20.14971967380224
