system,model_seed,reverse_region,timestep,call_index,site,operation,anchor_weight_mass,complement_weight_mass,anchor_norm,complement_residual_norm,fraction_projected,near_zero_skip_fraction,pre_projection_cosine,post_projection_cosine,removed_opposing_norm_ratio,removed_opposing_energy_ratio,retained_complement_norm,full_to_aa_delta_norm,aa_to_fa_delta_norm,effective_branch_count,maximum_weight,top1_top2_margin,dominant_period,active_period_count,decomposition_identity_max_abs_error,maximum_post_projection_violation
PETS_U_BF_EFULL_DFULL,1,clean,0,0,encoder,FULL,0.6180295366793871,0.381970458664,3.34298860875424,0.6543911594053498,0.0,0.0,-0.6591106389743757,-0.6591106389743757,0.0,0.0,0.6543911594053498,0.0,0.6543911594053498,2.4651072956621647,0.594632881693542,0.4211018625646829,37.875,5.0,2.9802322387695312e-08,5.833855152130127
PETS_U_BF_EFULL_DFULL,1,clean,0,0,decoder,FULL,0.8901271149516106,0.1098728801589459,1.4549227452953346,0.0680037153388184,0.0,0.0,-0.6724640702744296,-0.6724640702744296,0.0,0.0,0.0680037153388184,0.0,0.0680037153388184,1.264014918357134,0.8901271149516106,0.8358839359134436,25.0,6.0,2.7939677238464355e-09,0.3317556381225586
PETS_U_BF_EAA_DFULL,1,clean,0,0,encoder,ANTI_ANCHOR,0.6180295366793871,0.381970458664,3.34298860875424,0.6543911594053498,0.872802734375,0.0,-0.6591106389743757,0.0356260013714402,0.6947366205308043,0.579477162367386,0.4039664420852205,0.4410765032599464,0.4039664420852205,2.4651072956621647,0.594632881693542,0.4211018625646829,37.875,5.0,2.9802322387695312e-08,2.9802322387695312e-08
PETS_U_BF_EAA_DFULL,1,clean,0,0,decoder,FULL,0.8870231285691261,0.1129768764367327,1.4612927135895006,0.070348051943256,0.0,0.0,-0.6734790630343355,-0.6734790630343355,0.0,0.0,0.070348051943256,0.0,0.070348051943256,1.2723890133202076,0.8870231285691261,0.8313006926327944,25.0,6.0,2.7939677238464355e-09,0.3318886756896972
PETS_U_BF_EFULL_DAA,1,clean,0,0,encoder,FULL,0.6180295366793871,0.381970458664,3.34298860875424,0.6543911594053498,0.0,0.0,-0.6591106389743757,-0.6591106389743757,0.0,0.0,0.6543911594053498,0.0,0.6543911594053498,2.4651072956621647,0.594632881693542,0.4211018625646829,37.875,5.0,2.9802322387695312e-08,5.833855152130127
PETS_U_BF_EFULL_DAA,1,clean,0,0,decoder,ANTI_ANCHOR,0.8901271149516106,0.1098728801589459,1.4549227452953346,0.0680037153388184,0.9951171875,0.0,-0.6724640702744296,0.0004077596600133,0.6728717717447239,0.4761351105749634,0.0468383736454143,0.0479646339826338,0.0468383736454143,1.264014918357134,0.8901271149516106,0.8358839359134436,25.0,6.0,2.7939677238464355e-09,3.725290298461914e-09
PETS_U_BF_EAA_DAA,1,clean,0,0,encoder,ANTI_ANCHOR,0.6180295366793871,0.381970458664,3.34298860875424,0.6543911594053498,0.872802734375,0.0,-0.6591106389743757,0.0356260013714402,0.6947366205308043,0.579477162367386,0.4039664420852205,0.4410765032599464,0.4039664420852205,2.4651072956621647,0.594632881693542,0.4211018625646829,37.875,5.0,2.9802322387695312e-08,2.9802322387695312e-08
PETS_U_BF_EAA_DAA,1,clean,0,0,decoder,ANTI_ANCHOR,0.8870231285691261,0.1129768764367327,1.4612927135895006,0.070348051943256,0.9951171875,0.0,-0.6734790630343355,0.0003521760551933,0.6738311834542401,0.4769676497105601,0.0484386642299341,0.0496568522515374,0.0484386642299341,1.2723890133202076,0.8870231285691261,0.8313006926327944,25.0,6.0,2.7939677238464355e-09,3.725290298461914e-09
PETS_U_BF_EFULL_DFULL,2,high_noise,490,0,encoder,FULL,0.8576083648949862,0.1423916394360276,4.11972409838927,0.2906677866528753,0.0,0.0,-0.2245708550513878,-0.2245708550513878,0.0,0.0,0.2906677866528753,0.0,0.2906677866528753,1.4208020344376564,0.8575834119692445,0.7639537807554007,6.25,6.0,2.9802322387695312e-08,12.330695152282717
PETS_U_BF_EFULL_DFULL,2,high_noise,490,0,decoder,FULL,0.6745140962302685,0.3254859093576669,2.1747869038081262,0.3842588805000559,0.0,0.0,-0.3313142959514579,-0.3313142959514579,0.0,0.0,0.3842588805000559,0.0,0.3842588805000559,1.930074106901884,0.6738789631053805,0.4374039992690086,18.84375,5.0,2.2351741790771484e-08,3.275962352752685
