system,seed,draw,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error,first_difference_distribution_error,second_difference_distribution_error,lag1_autocorrelation_error,lag2_autocorrelation_error
PETS_U_BF_EFULL_DAA,123,100000,0.0014007653252657,0.0121849632458933,0.0160860335320301,0.0074554712782375,0.0124616061043708,0.0658681441326531,0.0079507361583478,0.013305983950476,0.0179574854211963,0.021507944988669
PETS_U_BF_EFULL_DAA,123,100001,0.0014245372290538,0.0126211888389909,0.0168203275784535,0.007672440238641,0.0127482988930958,0.0658847523384354,0.0082208826193859,0.0136005205457563,0.0184410110059277,0.0220955727913203
PETS_U_BF_EFULL_DAA,123,100002,0.0014087200068042,0.0113223827357626,0.0157642637202458,0.0076178805770588,0.0126406913979533,0.0653831845238095,0.0081574009170124,0.0133808730043076,0.018665052711714,0.0229780644083884
PETS_U_BF_EFULL_DAA,123,100003,0.0013967492238431,0.0117975520884553,0.0165154790916185,0.0075707642483521,0.0125440867011375,0.06507288787911,0.0080700571101445,0.0134147346016469,0.0176918683516233,0.0210493944498438
PETS_U_BF_EFULL_DAA,123,100004,0.001427532948955,0.0151819134603224,0.0165839776192256,0.0076032518799838,0.0126664075986901,0.066183700042517,0.0081586865128932,0.0135514156620402,0.0186021258153117,0.0228105338366691
PETS_U_BF_EAA_DAA,0,100000,0.0014085813856279,0.0148977328401263,0.0186853027836648,0.0075300223243188,0.0121949981055291,0.0645037800276361,0.0080274584609252,0.0127671125103067,0.0152292553591705,0.0183528141676102
PETS_U_BF_EAA_DAA,0,100001,0.0014341656054758,0.0136790262027572,0.0193283796801675,0.0077507249399986,0.0125159397938442,0.064493538300737,0.0083492150536843,0.0134478053780166,0.0160344014858936,0.0193263107440876
PETS_U_BF_EAA_DAA,0,100002,0.001427729056595,0.0133725487958232,0.0186226838511147,0.0076936016137225,0.0123950056635211,0.0641815808354592,0.0082771074208882,0.0131901332483841,0.0156677792662803,0.0191780831154468
PETS_U_BF_EAA_DAA,0,100003,0.0014080596219696,0.0143000995769238,0.0188351659487703,0.0076462786985221,0.0122923040192374,0.0642206101190476,0.0082281512521601,0.0131388093035121,0.0150776542470976,0.018162054357896
PETS_U_BF_EAA_DAA,0,100004,0.0014342220338217,0.0165047442387283,0.0186857589992629,0.007682114088248,0.0124672502757196,0.0653278238378685,0.0082706083898896,0.0133297373776014,0.0165034077772413,0.0206504090950237
PETS_U_BF_EAA_DAA,1,100000,0.0013081395366136,0.0117631798577762,0.0160289031574868,0.0067537602905513,0.0111741104917895,0.0634785001240079,0.0074340316492182,0.0121018005682157,0.0155611625294193,0.0187029827875518
PETS_U_BF_EAA_DAA,1,100001,0.0013278545762017,0.0118585541282026,0.0160214303084635,0.0069583815856861,0.0114376377178325,0.0631920085742631,0.0076246509975963,0.0122812727174082,0.0163880591991517,0.0200811510219227
PETS_U_BF_EAA_DAA,1,100002,0.0013182299341553,0.0117047343535601,0.0156244383824264,0.0069008522789481,0.0113606465482968,0.0632656382865646,0.0075335977931658,0.0122961346579122,0.0161962004686134,0.0197250973081675
PETS_U_BF_EAA_DAA,1,100003,0.0013141817539368,0.0122919574034259,0.016137430256692,0.0069230857939737,0.0113253880011907,0.0626170878507653,0.0075725380403774,0.0122873877516159,0.0157243045361477,0.0192274491171019
PETS_U_BF_EAA_DAA,1,100004,0.001331394477509,0.0142233225594561,0.0161080613654993,0.006901625528479,0.0113972038429807,0.063577042144983,0.0075695644136253,0.0122423897893516,0.016205806846069,0.0198817567739796
PETS_U_BF_EAA_DAA,2,100000,0.0014255450752986,0.0131962077553104,0.015776249263078,0.0076163814665545,0.0128880728618369,0.073268483825822,0.0081843459723474,0.0137641036210658,0.0178654935721489,0.0213474875662175
PETS_U_BF_EAA_DAA,2,100001,0.001457914569909,0.0149602192162116,0.0164671820489805,0.0078334484742026,0.0131785337702157,0.0734785776289683,0.0084084898494518,0.0141880016342088,0.018791372697821,0.0229437919841229
PETS_U_BF_EAA_DAA,2,100002,0.0014420548202405,0.013005234519744,0.0153822632108216,0.0077412067729354,0.0130387702158201,0.0732756807149944,0.0083264571901087,0.0139594392607678,0.0187764877396431,0.0232275996493426
PETS_U_BF_EAA_DAA,2,100003,0.001416752433531,0.0137000369843064,0.015979853419439,0.0076934909812483,0.0129276968012577,0.0729183274872449,0.0082287019622492,0.0138661818762759,0.0180273476176454,0.0218673744326893
PETS_U_BF_EAA_DAA,2,100004,0.001460581649715,0.0160104002809909,0.0160986883536432,0.0077627555669706,0.0131140451203884,0.0741179935515873,0.0082975545880737,0.014032838104369,0.0187940120028568,0.0231874896763752
PETS_U_BF_EAA_DAA,42,100000,0.0014351939460066,0.0090917515494031,0.0186486680401625,0.0075627819162686,0.0129244510604328,0.0754231217226474,0.0081397570308509,0.0137163122143004,0.0175012754680116,0.0205471822059935
PETS_U_BF_EAA_DAA,42,100001,0.0014621425002203,0.0097849937448293,0.0195951277530842,0.00774234895908,0.0131602267799211,0.0756736288265306,0.0083704834010872,0.0140988791607297,0.0180123388970626,0.021176763152739
PETS_U_BF_EAA_DAA,42,100002,0.0014373572322146,0.0085368400690012,0.0181414951357583,0.0076722288796675,0.0130623336793489,0.0754989658623866,0.0082899430163733,0.0139744394878586,0.0181327982169279,0.0218162162500737
PETS_U_BF_EAA_DAA,42,100003,0.0014218259521799,0.0099948676292914,0.0186911563781142,0.0076255128941433,0.0129821294213081,0.0757921006944444,0.0082694126711441,0.0138610196820089,0.0171725972613278,0.0197578245455244
PETS_U_BF_EAA_DAA,42,100004,0.0014522964348476,0.0095835220571597,0.0184739671315182,0.0076995173684799,0.0131804987431459,0.0765558013570011,0.008324471259123,0.0140618935466765,0.0187943906561796,0.0230305769847464
PETS_U_BF_EAA_DAA,123,100000,0.0013681231045839,0.0129394281609882,0.0172359902763155,0.0071397298021222,0.0117641539814358,0.0612959050807823,0.0076383208870649,0.0125939077914178,0.0155358387354728,0.017882618113731
PETS_U_BF_EAA_DAA,123,100001,0.0013980399475673,0.0126760971045914,0.018121865105562,0.0073597933349734,0.0120642863110448,0.0615306343891723,0.007926455264176,0.0129517348375056,0.0159640584735403,0.0182675707003647
