system,seed,draw,metric,value,evaluator_sd
PETS_U_BF_EAA_DAA,123,100004,context_fid,0.8881008805396006,0.0897643959492884
PETS_U_BF_EAA_DAA,123,100004,correlation_score,0.0670288950204849,
PETS_U_BF_EAA_DAA,123,100004,discriminative_score,0.1536585365853658,0.005880274854264
PETS_U_BF_EAA_DAA,123,100004,predictive_score,0.1128236943283506,0.0079817701828805
PETS_U_BF_EAA_DFULL,0,100000,context_fid,0.9009127311365642,0.0945925043397404
PETS_U_BF_EAA_DFULL,0,100000,correlation_score,0.0719241052865982,
PETS_U_BF_EAA_DFULL,0,100000,discriminative_score,0.1396341463414634,0.0084490283296042
PETS_U_BF_EAA_DFULL,0,100000,predictive_score,0.1159987709280964,0.0049909025263882
PETS_U_BF_EAA_DFULL,0,100001,context_fid,0.9507821901991766,0.0982049694932562
PETS_U_BF_EAA_DFULL,0,100001,correlation_score,0.0771952793002128,
PETS_U_BF_EAA_DFULL,0,100001,discriminative_score,0.1485772357723577,0.002308499327561
PETS_U_BF_EAA_DFULL,0,100001,predictive_score,0.1192863387018405,0.0071528432855222
PETS_U_BF_EAA_DFULL,0,100002,context_fid,0.9308247172341008,0.0946718710499659
PETS_U_BF_EAA_DFULL,0,100002,correlation_score,0.0828139781951904,
PETS_U_BF_EAA_DFULL,0,100002,discriminative_score,0.1609756097560976,0.0095246947267154
PETS_U_BF_EAA_DFULL,0,100002,predictive_score,0.114705237545877,0.0054452314579947
PETS_U_BF_EAA_DFULL,0,100003,context_fid,0.9359358480769188,0.094049949333608
PETS_U_BF_EAA_DFULL,0,100003,correlation_score,0.077399268746376,
PETS_U_BF_EAA_DFULL,0,100003,discriminative_score,0.1640243902439024,0.008601668280284
PETS_U_BF_EAA_DFULL,0,100003,predictive_score,0.1162747759132495,0.0050641697721476
PETS_U_BF_EAA_DFULL,0,100004,context_fid,0.9495147477213736,0.0996797664851419
PETS_U_BF_EAA_DFULL,0,100004,correlation_score,0.0686018243432045,
PETS_U_BF_EAA_DFULL,0,100004,discriminative_score,0.1571138211382114,0.0137477126610454
PETS_U_BF_EAA_DFULL,0,100004,predictive_score,0.1146113691846342,0.0058793130139368
PETS_U_BF_EAA_DFULL,1,100000,context_fid,0.7932898675252069,0.0838724038172731
PETS_U_BF_EAA_DFULL,1,100000,correlation_score,0.0719359591603279,
PETS_U_BF_EAA_DFULL,1,100000,discriminative_score,0.1195121951219512,0.020650846612044
PETS_U_BF_EAA_DFULL,1,100000,predictive_score,0.1244845588845843,0.0139861241457564
PETS_U_BF_EAA_DFULL,1,100001,context_fid,0.818950004421059,0.0849160835047783
PETS_U_BF_EAA_DFULL,1,100001,correlation_score,0.0808973535895347,
PETS_U_BF_EAA_DFULL,1,100001,discriminative_score,0.107520325203252,0.0134883414821439
PETS_U_BF_EAA_DFULL,1,100001,predictive_score,0.1223982734850324,0.0123834482031458
PETS_U_BF_EAA_DFULL,1,100002,context_fid,0.7839152164149539,0.0797701501425748
PETS_U_BF_EAA_DFULL,1,100002,correlation_score,0.0803900882601738,
PETS_U_BF_EAA_DFULL,1,100002,discriminative_score,0.1294715447154471,0.0176127004722682
PETS_U_BF_EAA_DFULL,1,100002,predictive_score,0.1180976454193114,0.0047333732781299
