system,seed,draw,path,sha256,shape,archived_reuse,checkpoint_sha256,paired_noise_group
PETS_U_BF_EFULL_DAA,123,100000,samples/PETS_U_BF_EFULL_DAA/seed_123/draw_100000/samples.npy,3c3ee44b7c35843a40d7ea62a78e58535d46826227bd216f721cc8844af20ec7,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100000
PETS_U_BF_EFULL_DAA,123,100001,samples/PETS_U_BF_EFULL_DAA/seed_123/draw_100001/samples.npy,dc798184abef53b4fa4fa2c96d6eda01876b81c4707a3ef41d912fe8ea128378,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100001
PETS_U_BF_EFULL_DAA,123,100002,samples/PETS_U_BF_EFULL_DAA/seed_123/draw_100002/samples.npy,bd2b1f2c7feec74c703c3c2a427b48f00b825cac5eeb80d99af3225f74b3a38f,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100002
PETS_U_BF_EFULL_DAA,123,100003,samples/PETS_U_BF_EFULL_DAA/seed_123/draw_100003/samples.npy,5887d95774ff9c6320d0a503e9340c41c76f553c9087197eb59491a9c8d0d006,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100003
PETS_U_BF_EFULL_DAA,123,100004,samples/PETS_U_BF_EFULL_DAA/seed_123/draw_100004/samples.npy,81afd6d18c9638b004767c48253c8875b41f2c577be7c863110fb5afe3bd877c,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100004
PETS_U_BF_EAA_DAA,0,100000,samples/PETS_U_BF_EAA_DAA/seed_0/draw_100000/samples.npy,e069d64574a983bb8cf35d4c2bca4d138bf0b7999c1c6672d53bbea1bb4ee7f4,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100000
PETS_U_BF_EAA_DAA,0,100001,samples/PETS_U_BF_EAA_DAA/seed_0/draw_100001/samples.npy,16d8f0ab8532926ed0199c660322869509e3f35fbad605b573609ae4bff6e26b,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100001
PETS_U_BF_EAA_DAA,0,100002,samples/PETS_U_BF_EAA_DAA/seed_0/draw_100002/samples.npy,0da8cc5fa4120e7cf4ec1d751f7cfd45033b4f87a7525cc5d75b9fabd765772d,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100002
PETS_U_BF_EAA_DAA,0,100003,samples/PETS_U_BF_EAA_DAA/seed_0/draw_100003/samples.npy,456846f4f62d79061e7f3f1ad8551ef6c710506fbee02e70f66f2e1c0b107e7a,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100003
PETS_U_BF_EAA_DAA,0,100004,samples/PETS_U_BF_EAA_DAA/seed_0/draw_100004/samples.npy,4422c442a75f67fb2b22e202e16b5947106f4369ae852a5c662e47957ed690a3,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100004
