family,system,seed,draw,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
DIFFTS_U,DIFFTS_U_ORIGINAL,0,100000,0.0011180443775042936,0.004660102502374874,0.011518715861012375,0.007195926685675088,0.013575850516680837,0.11314949156746035
DIFFTS_U,DIFFTS_U_ORIGINAL,0,100001,0.001177759021016581,0.005515496708559532,0.012658318804451913,0.007465077374159974,0.013905509050788273,0.11297953426162138
DIFFTS_U,DIFFTS_U_ORIGINAL,0,100002,0.0011456208300468203,0.005377717481829671,0.01278064058691049,0.007373213236705246,0.01378730876498787,0.11281372900722797
DIFFTS_U,DIFFTS_U_ORIGINAL,0,100003,0.0011658155330843715,0.004434849115231175,0.012533278076322056,0.0075247843491899925,0.01397157164908941,0.11291393184878123
DIFFTS_U,DIFFTS_U_ORIGINAL,0,100004,0.0011488974999838664,0.0068076222722370195,0.01231926143535351,0.007339661912933625,0.013647872965985748,0.11169987200609416
DIFFTS_U,DIFFTS_U_ORIGINAL,1,100000,0.00102143705194954,0.005979187965350076,0.011086614010333812,0.005078191269819999,0.010306750397976051,0.09578948767006806
DIFFTS_U,DIFFTS_U_ORIGINAL,1,100001,0.00105903580403025,0.009407336930876352,0.011516096202135753,0.005185319263399227,0.010286192269836958,0.09433267121952954
DIFFTS_U,DIFFTS_U_ORIGINAL,1,100002,0.0010320742035633454,0.00736677071176449,0.01205296277921908,0.005239147580514112,0.010427675110718716,0.09419897516298192
DIFFTS_U,DIFFTS_U_ORIGINAL,1,100003,0.0010521546112882726,0.00864669292503186,0.011926154895977547,0.005234181145023702,0.010376733257285324,0.09444809824971662
DIFFTS_U,DIFFTS_U_ORIGINAL,1,100004,0.001050630567544423,0.007886819304931087,0.011245080361153306,0.005225806035943321,0.01034489991724221,0.09427869455073701
DIFFTS_U,DIFFTS_U_ORIGINAL,2,100000,0.0016693461214503929,0.05785768158225321,0.02429466700650517,0.008100070167015028,0.01242159554073212,0.0667278955853175
DIFFTS_U,DIFFTS_U_ORIGINAL,2,100001,0.001695950861625948,0.059328146695380335,0.02434349176026052,0.008148296768746913,0.012442982602726638,0.06528159766510777
DIFFTS_U,DIFFTS_U_ORIGINAL,2,100002,0.0016690999236338795,0.05828712788075941,0.025512405664982207,0.008104833041852524,0.012443305148262251,0.0666420865221089
DIFFTS_U,DIFFTS_U_ORIGINAL,2,100003,0.0016820629963713773,0.05862335539048131,0.024711832198920654,0.00816309340637367,0.01244809610702352,0.06543245553429711
DIFFTS_U,DIFFTS_U_ORIGINAL,2,100004,0.001679841249121876,0.05759563164963126,0.023754257833298886,0.008077423521921184,0.012349551595625119,0.06552075582837308
DIFFTS_U,DIFFTS_U_ORIGINAL,42,100000,0.0011246123410605193,0.011771659740085642,0.012516355221910355,0.005450941105795477,0.010231065572291267,0.0926480455463436
DIFFTS_U,DIFFTS_U_ORIGINAL,42,100001,0.0011804617456412014,0.011724075185495227,0.01383788693964727,0.005680834204517302,0.010452198086274248,0.0918317522321429
DIFFTS_U,DIFFTS_U_ORIGINAL,42,100002,0.0011345955644985692,0.008613260196496511,0.013565376178106306,0.005631243103291536,0.010446496203060783,0.09221733940972227
DIFFTS_U,DIFFTS_U_ORIGINAL,42,100003,0.0011657153880442214,0.00948985325108617,0.013353754181974698,0.005725503437334543,0.010630709775291777,0.09304830330569736
DIFFTS_U,DIFFTS_U_ORIGINAL,42,100004,0.001144396086974888,0.009564461102653184,0.013336304130092024,0.005554188042069131,0.010309471277831224,0.09204156923185947
DIFFTS_U,DIFFTS_U_ORIGINAL,123,100000,0.0017385696561521378,0.09009757138397369,0.024055292589317278,0.008703076204162087,0.013603006124402219,0.07358459334254541
DIFFTS_U,DIFFTS_U_ORIGINAL,123,100001,0.0017664065941723952,0.09263445345177018,0.024550691840635856,0.008835111661712036,0.013714633139051219,0.07248153167517013
DIFFTS_U,DIFFTS_U_ORIGINAL,123,100002,0.001736494045382907,0.09321733874960886,0.02529610945097443,0.00877934416563041,0.013690259351215497,0.07324495553429711
DIFFTS_U,DIFFTS_U_ORIGINAL,123,100003,0.001745802014782895,0.08495714091738117,0.024569797192870474,0.008806331888829469,0.013685161459374783,0.07253301711309529
DIFFTS_U,DIFFTS_U_ORIGINAL,123,100004,0.0017485683653929358,0.0888422660667384,0.024040244101742752,0.008772796089168693,0.013642420028696874,0.0723807752267574
